id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score
1,0,daughter,father,,,,role_gender,289,26,3.54,11.12,0.481,10.86
1,1,daughter,father,,,,role_gender,272,23,3.51,11.83,0.54,11.19
1,2,daughter,father,,,,role_gender,288,23,3.39,12.52,0.503,11.34
2,0,son,father,,,,role_gender,307,27,3.62,11.37,0.495,11.11
2,1,son,father,,,,role_gender,303,26,3.46,11.65,0.525,11.02
2,2,son,father,,,,role_gender,294,26,3.54,11.31,0.554,10.96
3,0,child,father,,,,role_gender,292,22,3.45,13.27,0.497,11.81
3,1,child,father,,,,role_gender,290,28,3.49,10.36,0.5,10.41
3,2,child,father,,,,role_gender,264,21,3.49,12.57,0.496,11.52
4,0,daughter,mother,,,,role_gender,322,29,3.54,11.1,0.469,10.87
4,1,daughter,mother,,,,role_gender,258,19,3.39,13.58,0.504,11.87
4,2,daughter,mother,,,,role_gender,275,23,3.75,11.96,0.516,11.6
5,0,son,mother,,,,role_gender,279,26,3.51,10.73,0.53,10.63
5,1,son,mother,,,,role_gender,291,24,3.6,12.12,0.536,11.47
5,2,son,mother,,,,role_gender,311,27,3.7,11.52,0.537,11.31
6,0,child,mother,,,,role_gender,284,24,3.5,11.83,0.514,11.17
6,1,child,mother,,,,role_gender,290,26,3.44,11.15,0.5,10.73
6,2,child,mother,,,,role_gender,291,23,3.54,12.65,0.522,11.63
7,0,daughter,father,Hindu,,,religion,315,27,3.47,11.67,0.508,11.04
7,1,daughter,father,Hindu,,,religion,317,23,3.51,13.78,0.483,12.16
7,2,daughter,father,Hindu,,,religion,270,22,3.67,12.27,0.544,11.65
8,0,son,father,Hindu,,,religion,289,22,3.4,13.14,0.505,11.67
8,1,son,father,Hindu,,,religion,305,26,3.52,11.73,0.502,11.15
8,2,son,father,Hindu,,,religion,278,21,3.41,13.24,0.507,11.73
9,0,child,father,Hindu,,,religion,281,24,3.63,11.71,0.559,11.29
9,1,child,father,Hindu,,,religion,294,24,3.57,12.25,0.5,11.49
9,2,child,father,Hindu,,,religion,267,22,3.59,12.14,0.547,11.45
10,0,daughter,mother,Hindu,,,religion,276,20,3.45,13.8,0.504,12.07
10,1,daughter,mother,Hindu,,,religion,274,26,3.44,10.54,0.536,10.43
10,2,daughter,mother,Hindu,,,religion,295,20,3.39,14.75,0.454,12.46
11,0,son,mother,Hindu,,,religion,292,21,3.62,13.9,0.521,12.38
11,1,son,mother,Hindu,,,religion,308,25,3.44,12.32,0.474,11.32
11,2,son,mother,Hindu,,,religion,292,25,3.54,11.68,0.514,11.15
12,0,child,mother,Hindu,,,religion,328,24,3.6,13.67,0.515,12.23
12,1,child,mother,Hindu,,,religion,298,24,3.59,12.42,0.534,11.59
12,2,child,mother,Hindu,,,religion,281,23,3.41,12.22,0.495,11.22
13,0,daughter,father,Muslim,,,religion,289,29,3.53,9.97,0.488,10.28
13,1,daughter,father,Muslim,,,religion,353,31,3.37,11.39,0.482,10.75
13,2,daughter,father,Muslim,,,religion,271,22,3.49,12.32,0.509,11.4
14,0,son,father,Muslim,,,religion,258,21,3.57,12.29,0.539,11.5
14,1,son,father,Muslim,,,religion,275,24,3.57,11.46,0.495,11.09
14,2,son,father,Muslim,,,religion,271,25,3.52,10.84,0.498,10.69
15,0,child,father,Muslim,,,religion,273,25,3.62,10.92,0.535,10.88
15,1,child,father,Muslim,,,religion,295,24,3.56,12.29,0.549,11.49
15,2,child,father,Muslim,,,religion,295,26,3.39,11.35,0.508,10.75
16,0,daughter,mother,Muslim,,,religion,293,21,3.48,13.95,0.515,12.2
16,1,daughter,mother,Muslim,,,religion,251,20,3.55,12.55,0.554,11.59
16,2,daughter,mother,Muslim,,,religion,244,25,3.79,9.76,0.496,10.57
17,0,son,mother,Muslim,,,religion,279,23,3.49,12.13,0.527,11.31
17,1,son,mother,Muslim,,,religion,299,24,3.4,12.46,0.502,11.33
17,2,son,mother,Muslim,,,religion,296,25,3.54,11.84,0.541,11.24
18,0,child,mother,Muslim,,,religion,298,26,3.51,11.46,0.497,11.0
18,1,child,mother,Muslim,,,religion,269,22,3.3,12.23,0.461,11.06
18,2,child,mother,Muslim,,,religion,277,22,3.42,12.59,0.527,11.42
19,0,daughter,father,Sikh,,,religion,259,19,3.54,13.63,0.525,12.12
19,1,daughter,father,Sikh,,,religion,273,23,3.63,11.87,0.531,11.38
19,2,daughter,father,Sikh,,,religion,297,25,3.42,11.88,0.481,11.07
20,0,son,father,Sikh,,,religion,324,28,3.56,11.57,0.512,11.12
20,1,son,father,Sikh,,,religion,303,24,3.48,12.62,0.525,11.54
20,2,son,father,Sikh,,,religion,283,22,3.48,12.86,0.505,11.66
21,0,child,father,Sikh,,,religion,300,23,3.42,13.04,0.517,11.65
21,1,child,father,Sikh,,,religion,311,27,3.53,11.52,0.521,11.06
21,2,child,father,Sikh,,,religion,281,23,3.57,12.22,0.502,11.46
22,0,daughter,mother,Sikh,,,religion,286,20,3.55,14.3,0.514,12.47
22,1,daughter,mother,Sikh,,,religion,256,21,3.68,12.19,0.559,11.61
22,2,daughter,mother,Sikh,,,religion,287,25,3.5,11.48,0.551,10.99
23,0,son,mother,Sikh,,,religion,275,26,3.61,10.58,0.52,10.7
23,1,son,mother,Sikh,,,religion,298,26,3.42,11.46,0.483,10.86
23,2,son,mother,Sikh,,,religion,272,22,3.49,12.36,0.511,11.41
24,0,child,mother,Sikh,,,religion,292,23,3.5,12.7,0.517,11.6
24,1,child,mother,Sikh,,,religion,265,26,3.62,10.19,0.577,10.52
24,2,child,mother,Sikh,,,religion,292,24,3.46,12.17,0.517,11.28
25,0,daughter,father,Christian,,,religion,271,21,3.51,12.9,0.513,11.71
25,1,daughter,father,Christian,,,religion,314,24,3.47,13.08,0.513,11.75
25,2,daughter,father,Christian,,,religion,293,24,3.52,12.21,0.529,11.38
26,0,son,father,Christian,,,religion,272,24,3.58,11.33,0.515,11.04
26,1,son,father,Christian,,,religion,346,25,3.5,13.84,0.477,12.17
26,2,son,father,Christian,,,religion,277,22,3.57,12.59,0.502,11.65
27,0,child,father,Christian,,,religion,277,22,3.48,12.59,0.451,11.52
27,1,child,father,Christian,,,religion,298,22,3.45,13.55,0.51,11.94
27,2,child,father,Christian,,,religion,289,24,3.41,12.04,0.543,11.13
28,0,daughter,mother,Christian,,,religion,266,24,3.47,11.08,0.477,10.75
28,1,daughter,mother,Christian,,,religion,301,22,3.52,13.68,0.482,12.12
28,2,daughter,mother,Christian,,,religion,277,22,3.48,12.59,0.527,11.51
29,0,son,mother,Christian,,,religion,282,22,3.55,12.82,0.507,11.73
29,1,son,mother,Christian,,,religion,275,21,3.39,13.1,0.531,11.64
29,2,son,mother,Christian,,,religion,291,23,3.45,12.65,0.488,11.5
30,0,child,mother,Christian,,,religion,297,23,3.46,12.91,0.525,11.64
30,1,child,mother,Christian,,,religion,270,21,3.41,12.86,0.522,11.55
30,2,child,mother,Christian,,,religion,255,25,3.47,10.2,0.553,10.3
31,0,daughter,father,Buddhist,,,religion,259,20,3.56,12.95,0.579,11.81
31,1,daughter,father,Buddhist,,,religion,301,28,3.46,10.75,0.505,10.56
31,2,daughter,father,Buddhist,,,religion,298,27,3.59,11.04,0.503,10.9
32,0,son,father,Buddhist,,,religion,319,26,3.4,12.27,0.495,11.24
32,1,son,father,Buddhist,,,religion,327,25,3.44,13.08,0.48,11.7
32,2,son,father,Buddhist,,,religion,278,20,3.54,13.9,0.489,12.26
33,0,child,father,Buddhist,,,religion,283,23,3.41,12.3,0.537,11.26
33,1,child,father,Buddhist,,,religion,263,25,3.57,10.52,0.517,10.62
33,2,child,father,Buddhist,,,religion,295,25,3.46,11.8,0.502,11.09
34,0,daughter,mother,Buddhist,,,religion,288,23,3.42,12.52,0.497,11.39
34,1,daughter,mother,Buddhist,,,religion,279,23,3.49,12.13,0.516,11.3
34,2,daughter,mother,Buddhist,,,religion,262,20,3.66,13.1,0.534,12.03
35,0,son,mother,Buddhist,,,religion,289,22,3.41,13.14,0.464,11.69
35,1,son,mother,Buddhist,,,religion,297,25,3.6,11.88,0.532,11.33
35,2,son,mother,Buddhist,,,religion,273,23,3.52,11.87,0.495,11.22
36,0,child,mother,Buddhist,,,religion,263,22,3.38,11.95,0.54,11.05
36,1,child,mother,Buddhist,,,religion,273,26,3.51,10.5,0.465,10.51
36,2,child,mother,Buddhist,,,religion,292,25,3.53,11.68,0.545,11.13
37,0,daughter,father,Jain,,,religion,279,25,3.38,11.16,0.484,10.64
