id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score,flesch_reading_ease,flesch_kincaid_grade
1,0,daughter,father,,,,role_gender,294,23,4.56,12.78,0.636,13.23,73.34,6.17
1,1,daughter,father,,,,role_gender,319,32,4.28,9.97,0.592,11.41,79.72,4.94
1,2,daughter,father,,,,role_gender,332,25,4.47,13.28,0.59,13.35,75.37,6.31
2,0,son,father,,,,role_gender,317,27,4.17,11.74,0.587,12.12,81.29,5.06
2,1,son,father,,,,role_gender,334,35,4.27,9.54,0.572,11.18,84.35,4.15
2,2,son,father,,,,role_gender,331,29,4.43,11.41,0.562,12.35,81.87,4.65
3,0,child,father,,,,role_gender,345,36,4.36,9.58,0.542,11.33,77.25,5.14
3,1,child,father,,,,role_gender,356,37,4.35,9.62,0.576,11.34,79.86,4.76
3,2,child,father,,,,role_gender,332,31,4.29,10.71,0.542,11.79,81.51,4.81
4,0,daughter,mother,,,,role_gender,334,30,4.13,11.13,0.578,11.77,84.92,4.22
4,1,daughter,mother,,,,role_gender,319,25,4.31,12.76,0.558,12.85,80.64,5.18
4,2,daughter,mother,,,,role_gender,317,32,4.31,9.91,0.562,11.41,78.42,4.85
5,0,son,mother,,,,role_gender,316,32,4.36,9.88,0.585,11.47,79.21,4.71
5,1,son,mother,,,,role_gender,343,28,4.12,12.25,0.551,12.3,86.5,4.3
5,2,son,mother,,,,role_gender,327,27,4.33,12.11,0.55,12.55,77.86,5.64
6,0,child,mother,,,,role_gender,347,29,4.24,11.97,0.585,12.34,83.27,4.62
6,1,child,mother,,,,role_gender,330,33,4.33,10.0,0.573,11.5,82.5,4.43
6,2,child,mother,,,,role_gender,364,31,4.25,11.74,0.563,12.25,81.2,4.92
7,0,daughter,father,Hindu,,,religion,313,25,4.34,12.52,0.556,12.77,76.01,5.77
7,1,daughter,father,Hindu,,,religion,311,23,4.34,13.52,0.563,13.28,77.39,5.8
7,2,daughter,father,Hindu,,,religion,306,26,4.35,11.77,0.552,12.41,87.19,3.98
8,0,son,father,Hindu,,,religion,322,29,4.46,11.1,0.587,12.24,82.54,4.5
8,1,son,father,Hindu,,,religion,326,25,4.24,13.04,0.592,12.88,79.26,5.41
8,2,son,father,Hindu,,,religion,338,27,4.36,12.52,0.58,12.8,77.76,5.49
9,0,child,father,Hindu,,,religion,303,26,4.5,11.65,0.607,12.57,75.97,5.51
9,1,child,father,Hindu,,,religion,332,28,4.41,11.86,0.614,12.54,77.33,5.38
9,2,child,father,Hindu,,,religion,336,30,4.2,11.2,0.539,11.9,87.81,3.97
10,0,daughter,mother,Hindu,,,religion,324,26,4.26,12.46,0.568,12.62,81.08,5.04
10,1,daughter,mother,Hindu,,,religion,318,26,4.3,12.23,0.575,12.57,81.34,5.06
10,2,daughter,mother,Hindu,,,religion,333,25,4.43,13.32,0.562,13.31,72.15,6.44
11,0,son,mother,Hindu,,,religion,311,23,4.43,13.52,0.592,13.41,75.41,6.07
11,1,son,mother,Hindu,,,religion,319,32,4.19,9.97,0.58,11.27,86.19,3.82
11,2,son,mother,Hindu,,,religion,315,33,4.39,9.55,0.603,11.36,79.15,4.6
12,0,child,mother,Hindu,,,religion,328,29,4.42,11.31,0.582,12.29,78.26,5.15
12,1,child,mother,Hindu,,,religion,313,26,4.3,12.04,0.562,12.46,87.36,4.18
12,2,child,mother,Hindu,,,religion,375,30,4.17,12.5,0.531,12.51,80.77,5.07
13,0,daughter,father,Muslim,,,religion,319,29,4.28,11.0,0.567,11.92,83.92,4.27
13,1,daughter,father,Muslim,,,religion,361,32,4.36,11.28,0.562,12.18,77.2,5.26
13,2,daughter,father,Muslim,,,religion,328,25,4.32,13.12,0.555,13.04,77.97,5.64
14,0,son,father,Muslim,,,religion,304,22,4.13,13.82,0.559,13.11,83.16,5.09
14,1,son,father,Muslim,,,religion,319,28,4.11,11.39,0.555,11.86,84.9,4.24
14,2,son,father,Muslim,,,religion,358,31,4.23,11.55,0.575,12.12,80.67,4.95
15,0,child,father,Muslim,,,religion,324,34,4.24,9.53,0.583,11.13,89.13,3.24
15,1,child,father,Muslim,,,religion,334,29,4.41,11.52,0.584,12.38,82.79,4.55
15,2,child,father,Muslim,,,religion,323,26,4.24,12.42,0.57,12.58,80.29,5.15
16,0,daughter,mother,Muslim,,,religion,321,35,4.39,9.17,0.545,11.17,77.89,4.72
16,1,daughter,mother,Muslim,,,religion,326,32,4.37,10.19,0.604,11.65,76.73,5.39
16,2,daughter,mother,Muslim,,,religion,315,29,4.1,10.86,0.552,11.58,86.6,3.85
17,0,son,mother,Muslim,,,religion,329,27,4.28,12.19,0.556,12.51,78.58,5.3
17,1,son,mother,Muslim,,,religion,332,27,4.24,12.3,0.542,12.51,84.92,4.44
17,2,son,mother,Muslim,,,religion,314,29,4.18,10.83,0.564,11.68,81.34,4.64
18,0,child,mother,Muslim,,,religion,334,30,4.23,11.13,0.584,11.92,83.48,4.36
18,1,child,mother,Muslim,,,religion,328,31,4.48,10.58,0.561,12.0,72.91,5.94
18,2,child,mother,Muslim,,,religion,317,30,4.28,10.57,0.539,11.7,85.61,4.12
19,0,daughter,father,Sikh,,,religion,322,26,4.53,12.38,0.59,12.99,73.94,6.11
19,1,daughter,father,Sikh,,,religion,325,27,4.28,12.04,0.591,12.44,83.77,4.52
19,2,daughter,father,Sikh,,,religion,336,28,4.38,12.0,0.565,12.58,80.14,5.17
20,0,son,father,Sikh,,,religion,340,29,4.42,11.72,0.562,12.49,81.25,4.93
20,1,son,father,Sikh,,,religion,316,24,4.22,13.17,0.573,12.92,82.78,4.95
20,2,son,father,Sikh,,,religion,316,25,4.34,12.64,0.604,12.82,78.17,5.47
21,0,child,father,Sikh,,,religion,353,32,4.18,11.03,0.541,11.79,84.74,4.15
21,1,child,father,Sikh,,,religion,327,24,4.32,13.62,0.575,13.29,79.98,5.44
21,2,child,father,Sikh,,,religion,299,39,4.03,7.67,0.565,9.88,83.96,3.92
22,0,daughter,mother,Sikh,,,religion,305,30,4.31,10.17,0.541,11.55,82.51,4.28
22,1,daughter,mother,Sikh,,,religion,334,28,4.31,11.93,0.59,12.44,79.88,5.06
22,2,daughter,mother,Sikh,,,religion,374,39,4.18,9.59,0.564,11.06,88.38,3.43
23,0,son,mother,Sikh,,,religion,323,27,4.32,11.96,0.57,12.46,83.11,4.64
23,1,son,mother,Sikh,,,religion,313,22,4.29,14.23,0.562,13.54,82.66,5.26
23,2,son,mother,Sikh,,,religion,331,28,4.37,11.82,0.574,12.46,79.04,5.23
24,0,child,mother,Sikh,,,religion,337,29,4.31,11.62,0.588,12.27,76.57,5.56
24,1,child,mother,Sikh,,,religion,305,24,4.42,12.71,0.574,12.99,82.06,4.95
24,2,child,mother,Sikh,,,religion,299,24,4.12,12.46,0.592,12.4,86.27,4.41
25,0,daughter,father,Christian,,,religion,359,26,4.04,13.81,0.521,12.97,85.02,4.79
25,1,daughter,father,Christian,,,religion,313,27,4.29,11.59,0.572,12.24,84.11,4.38
25,2,daughter,father,Christian,,,religion,307,25,4.42,12.28,0.57,12.77,78.85,5.3
26,0,son,father,Christian,,,religion,316,29,4.28,10.9,0.604,11.88,83.22,4.54
26,1,son,father,Christian,,,religion,325,25,4.13,13.0,0.554,12.69,84.01,4.76
26,2,son,father,Christian,,,religion,321,24,4.19,13.38,0.545,12.97,79.74,5.57
27,0,child,father,Christian,,,religion,318,25,3.98,12.72,0.557,12.33,88.79,4.01
27,1,child,father,Christian,,,religion,336,31,4.06,10.84,0.58,11.51,86.33,4.04
27,2,child,father,Christian,,,religion,327,28,4.19,11.68,0.56,12.13,84.73,4.33
28,0,daughter,mother,Christian,,,religion,342,30,4.14,11.4,0.561,11.91,87.56,3.85
28,1,daughter,mother,Christian,,,religion,343,33,4.29,10.39,0.603,11.63,81.15,4.59
28,2,daughter,mother,Christian,,,religion,313,37,4.22,8.46,0.607,10.56,85.47,3.68
29,0,son,mother,Christian,,,religion,297,28,4.14,10.61,0.569,11.51,85.48,4.16
29,1,son,mother,Christian,,,religion,304,27,4.33,11.26,0.559,12.12,81.98,4.73
29,2,son,mother,Christian,,,religion,361,43,4.31,8.4,0.554,10.66,81.25,4.38
30,0,child,mother,Christian,,,religion,310,34,4.21,9.12,0.577,10.88,84.4,4.0
30,1,child,mother,Christian,,,religion,310,25,4.4,12.4,0.597,12.8,78.2,5.42
30,2,child,mother,Christian,,,religion,327,25,4.04,13.08,0.563,12.6,88.71,4.11
31,0,daughter,father,Buddhist,,,religion,333,27,4.11,12.33,0.571,12.34,83.93,4.7
31,1,daughter,father,Buddhist,,,religion,340,33,4.19,10.3,0.574,11.44,84.49,4.06
