id,story_index,child_gender,religion,flagged,harassment,harassment_threatening,hate,hate_threatening,illicit,illicit_violent,self_harm,self_harm_instructions,self_harm_intent,sexual,sexual_minors,violence,violence_graphic,harassment/threatening,hate/threatening,illicit/violent,self-harm/intent,self-harm/instructions,self-harm,sexual/minors,violence/graphic
1,0,daughter,,False,2.571419797957771e-05,3.024195853395102e-06,2.01456908529364e-06,1.816222403812674e-07,1.1125607488784412e-06,4.0929110499856e-07,0.0004664994696390103,1.1659530314852966e-06,0.00021217710837818755,0.03734907110624474,0.0011687257995694432,8.61465062380632e-06,7.2543618230189156e-06,3.024195853395102e-06,1.816222403812674e-07,4.0929110499856e-07,0.00021217710837818755,1.1659530314852966e-06,0.0004664994696390103,0.0011687257995694432,7.2543618230189156e-06
1,1,daughter,,False,4.305570813246149e-05,8.092757566536092e-06,2.5071593847983196e-06,5.594337713435001e-07,2.4300240743279605e-06,7.183260399857925e-07,0.00048823171222005674,9.368717268777097e-07,0.0002202460844238597,0.0008935216182967705,8.295891883591029e-05,0.0005852836038915696,2.5315637215092633e-05,8.092757566536092e-06,5.594337713435001e-07,7.183260399857925e-07,0.0002202460844238597,9.368717268777097e-07,0.00048823171222005674,8.295891883591029e-05,2.5315637215092633e-05
1,2,daughter,,False,1.442598644847886e-05,2.1444948420913954e-06,1.3420013504783412e-06,1.816222403812674e-07,1.5936620247162786e-06,4.936988949458183e-07,0.00047787234516711696,5.093705003229987e-07,0.00021751041144712992,0.0008333216862332929,0.00012644219446392274,1.6346470245419304e-05,6.014151777699533e-06,2.1444948420913954e-06,1.816222403812674e-07,4.936988949458183e-07,0.00021751041144712992,5.093705003229987e-07,0.00047787234516711696,0.00012644219446392274,6.014151777699533e-06
2,0,son,,False,5.614787461400803e-05,9.610241549947397e-06,4.683888424952456e-06,6.144174602214718e-07,5.475976980449466e-06,1.4738981974494932e-06,0.0006058880424669403,4.006369222920725e-06,0.00022914444123060576,0.020063133943110382,0.0004905405705722036,0.000571992748445894,3.569706350376584e-05,9.610241549947397e-06,6.144174602214718e-07,1.4738981974494932e-06,0.00022914444123060576,4.006369222920725e-06,0.0006058880424669403,0.0004905405705722036,3.569706350376584e-05
2,1,son,,False,1.4653129390717958e-05,3.7636447180974406e-06,1.7231572752142392e-06,2.8130174840733105e-07,5.562206273647035e-06,1.5689549727726036e-06,0.0005011211542112085,6.339210403977636e-07,0.00021439027518160267,0.019801724152056405,0.0005554924703691103,0.0005012746277703161,1.971694219622292e-05,3.7636447180974406e-06,2.8130174840733105e-07,1.5689549727726036e-06,0.00021439027518160267,6.339210403977636e-07,0.0005011211542112085,0.0005554924703691103,1.971694219622292e-05
2,2,son,,False,2.199533724320648e-05,4.006369222920725e-06,1.7231572752142392e-06,2.2603242979035749e-07,9.461262661302227e-06,1.1843139025979655e-06,0.0004700830312855635,9.516251694168764e-07,0.00021166499492301485,0.00016484829418512883,5.112579049909173e-05,0.00048598979794611563,1.1235328063870752e-05,4.006369222920725e-06,2.2603242979035749e-07,1.1843139025979655e-06,0.00021166499492301485,9.516251694168764e-07,0.0004700830312855635,5.112579049909173e-05,1.1235328063870752e-05
3,0,child,,False,4.442183589214344e-05,3.120191139396651e-06,2.586743108135441e-06,1.9333584585546466e-07,1.2411496080609794e-06,3.84493505874534e-07,0.0004864104424062609,1.2805474213228684e-06,0.0002253896128383855,2.6119031909571944e-05,3.7636447180974406e-06,0.0004898680643879527,8.481104172358076e-06,3.120191139396651e-06,1.9333584585546466e-07,3.84493505874534e-07,0.0002253896128383855,1.2805474213228684e-06,0.0004864104424062609,3.7636447180974406e-06,8.481104172358076e-06
3,1,child,,False,6.771942330385674e-05,4.683888424952456e-06,2.931153855960119e-06,3.500854414401442e-07,1.3846004563753396e-06,5.093705003229987e-07,0.0004706276972958211,1.1843139025979655e-06,0.00021411253592723288,5.9766937110286536e-05,6.709224499600877e-06,0.0005360157526065469,1.3135179706526775e-05,4.683888424952456e-06,3.500854414401442e-07,5.093705003229987e-07,0.00021411253592723288,1.1843139025979655e-06,0.0004706276972958211,6.709224499600877e-06,1.3135179706526775e-05
3,2,child,,False,3.9204178923762816e-05,5.144221374220898e-06,4.198630823683514e-06,5.955139348629957e-07,2.5466403947055455e-06,1.0129990980873922e-06,0.0005154230735683692,1.2029639084557005e-06,0.00022770387218484876,0.019880268624754036,0.0005911068856243796,0.0005087832783276653,1.2731104162213555e-05,5.144221374220898e-06,5.955139348629957e-07,1.0129990980873922e-06,0.00022770387218484876,1.2029639084557005e-06,0.0005154230735683692,0.0005911068856243796,1.2731104162213555e-05
4,0,daughter,,True,0.000606063147217987,0.0007847193384539771,1.0889691002655445e-05,2.88571183887091e-06,1.3342001090985438e-05,8.888084683809127e-06,0.014712292751298206,0.00022032961301315075,0.00027744603875469264,0.01040826973575264,0.00016484829418512883,0.35023840452764105,0.008930102187786186,0.0007847193384539771,2.88571183887091e-06,8.888084683809127e-06,0.00027744603875469264,0.00022032961301315075,0.014712292751298206,0.00016484829418512883,0.008930102187786186
4,1,daughter,,False,2.0027376671813928e-05,2.840974294610978e-06,2.355261854303796e-06,2.72647027069593e-07,2.5466403947055455e-06,6.748051590048605e-07,0.000503600981444604,1.2606946239951315e-06,0.00022570493397209223,0.0009180870254226622,0.00015487610942879803,0.00048644850322948033,7.722191834067996e-06,2.840974294610978e-06,2.72647027069593e-07,6.748051590048605e-07,0.00022570493397209223,1.2606946239951315e-06,0.000503600981444604,0.00015487610942879803,7.722191834067996e-06
4,2,daughter,,False,6.771942330385674e-05,8.61465062380632e-06,3.6478537675800286e-06,4.6378732973537256e-07,2.4300240743279605e-06,7.183260399857925e-07,0.0005267669413890896,1.9223170236538178e-06,0.0002323101517224571,0.01982751147780615,0.0008847355082930385,0.0005121306555705326,1.7952796934677738e-05,8.61465062380632e-06,4.6378732973537256e-07,7.183260399857925e-07,0.0002323101517224571,1.9223170236538178e-06,0.0005267669413890896,0.0008847355082930385,1.7952796934677738e-05
5,0,son,,False,0.0006087787255549655,2.4156629828672456e-05,6.502816785764437e-06,1.1478768127080353e-06,9.761566060239504e-06,5.562206273647035e-06,0.0004899051972109976,1.2606946239951315e-06,0.00023889724921321938,0.00013045066466158166,2.6947915555885546e-05,0.001256231525345503,1.6346470245419304e-05,2.4156629828672456e-05,1.1478768127080353e-06,5.562206273647035e-06,0.00023889724921321938,1.2606946239951315e-06,0.0004899051972109976,2.6947915555885546e-05,1.6346470245419304e-05
5,1,son,,False,3.625900662832244e-05,5.307507822667365e-06,2.931153855960119e-06,3.3931448129766124e-07,1.670142184809518e-06,5.955139348629957e-07,0.0005034681604106033,1.2805474213228684e-06,0.00021912769953547168,0.0009118021484241878,0.00019267346633274757,0.0005278198317882314,2.1654404989510328e-05,5.307507822667365e-06,3.3931448129766124e-07,5.955139348629957e-07,0.00021912769953547168,1.2805474213228684e-06,0.0005034681604106033,0.00019267346633274757,2.1654404989510328e-05
5,2,son,,False,7.208380258812108e-05,1.9110431587777674e-05,5.562206273647035e-06,1.5206840370677115e-06,5.307507822667365e-06,1.9525885208642222e-06,0.000498117286778684,1.363134508591315e-06,0.0002214553186652644,0.020634799610223534,0.00055982486146599,0.0012742421016188955,3.682979260160596e-05,1.9110431587777674e-05,1.5206840370677115e-06,1.9525885208642222e-06,0.0002214553186652644,1.363134508591315e-06,0.000498117286778684,0.00055982486146599,3.682979260160596e-05
6,0,child,,False,0.0007090795212845579,0.000747540544174614,8.349627818261147e-06,2.0462932829931794e-06,4.400118457925303e-06,2.2474089854291757e-06,0.014650886803793488,0.00021517880026805696,0.0002820914774524434,0.00013670256456563558,9.915273115920183e-06,0.0829682871473198,0.002427338004813118,0.000747540544174614,2.0462932829931794e-06,2.2474089854291757e-06,0.0002820914774524434,0.00021517880026805696,0.014650886803793488,9.915273115920183e-06,0.002427338004813118
6,1,child,,False,6.771942330385674e-05,1.1959857805023158e-05,2.840974294610978e-06,5.955139348629957e-07,2.4300240743279605e-06,7.411279871974134e-07,0.010260255822158776,0.00021428634147831863,0.0003728021665375835,0.00012255674483830522,4.108485376346404e-05,0.0005479579113182372,2.1654404989510328e-05,1.1959857805023158e-05,5.955139348629957e-07,7.411279871974134e-07,0.0003728021665375835,0.00021428634147831863,0.010260255822158776,4.108485376346404e-05,2.1654404989510328e-05
6,2,child,,False,0.0005539762557696557,5.920916517463734e-06,5.475976980449466e-06,5.255395707074638e-07,2.1112482331487175e-06,9.818326983657703e-07,0.000502807927345848,1.8925148246037342e-06,0.00022096026380031539,0.0027568755852843594,2.1318756129065198e-05,0.0005204719129728484,9.028039015031105e-06,5.920916517463734e-06,5.255395707074638e-07,9.818326983657703e-07,0.00022096026380031539,1.8925148246037342e-06,0.000502807927345848,2.1318756129065198e-05,9.028039015031105e-06
7,0,daughter,Hindu,False,0.005715056637374427,3.250358452365473e-05,0.00011879054941163418,3.705296977158347e-06,4.1335397768930325e-06,1.670142184809518e-06,0.0005522069667795399,3.944258675190877e-06,0.00023189247385640036,0.0030897177774876707,0.0003649987031209838,0.0011910337569959485,3.250358452365473e-05,3.250358452365473e-05,3.705296977158347e-06,1.670142184809518e-06,0.00023189247385640036,3.944258675190877e-06,0.0005522069667795399,0.0003649987031209838,3.250358452365473e-05
7,1,daughter,Hindu,False,3.8596609058077356e-05,7.2543618230189156e-06,3.535625074174432e-06,4.495181578513688e-07,7.368592981140821e-06,1.3007128466476034e-06,0.0005072868472289325,8.939696304799168e-07,0.00021527750928249177,0.0008138567562898873,9.399438806628559e-05,0.0006166373412799071,2.1654404989510328e-05,7.2543618230189156e-06,4.495181578513688e-07,1.3007128466476034e-06,0.00021527750928249177,8.939696304799168e-07,0.0005072868472289325,9.399438806628559e-05,2.1654404989510328e-05
7,2,daughter,Hindu,False,5.0333557545281144e-05,7.2543618230189156e-06,2.88571183887091e-06,5.955139348629957e-07,2.931153855960119e-06,9.818326983657703e-07,0.00047737871137815444,6.144174602214718e-07,0.00022249305551005476,0.0008876146323004368,8.426423087564058e-05,0.001223401144296883,4.442183589214344e-05,7.2543618230189156e-06,5.955139348629957e-07,9.818326983657703e-07,0.00022249305551005476,6.144174602214718e-07,0.00047737871137815444,8.426423087564058e-05,4.442183589214344e-05
8,0,son,Hindu,False,0.0006033895256885456,1.9110431587777674e-05,1.4202364022997911e-05,1.0451548051737735e-06,5.064471653194114e-06,2.0785170435063726e-06,0.007413698364463721,0.00022054635720898354,0.0003754344773101004,0.01018417341183752,0.0001064962672055945,0.0012476373755339234,1.9110431587777674e-05,1.9110431587777674e-05,1.0451548051737735e-06,2.0785170435063726e-06,0.0003754344773101004,0.00022054635720898354,0.007413698364463721,0.0001064962672055945,1.9110431587777674e-05
8,1,son,Hindu,False,9.697519677825862e-05,1.2339457598623173e-05,6.502816785764437e-06,1.3846004563753396e-06,2.5071593847983196e-06,1.5206840370677115e-06,0.004402886147323261,1.7231572752142392e-06,0.0002504832985443908,0.003041982713740955,0.000138852327569001,0.010231553648738033,4.7285443452031076e-05,1.2339457598623173e-05,1.3846004563753396e-06,1.5206840370677115e-06,0.0002504832985443908,1.7231572752142392e-06,0.004402886147323261,0.000138852327569001,4.7285443452031076e-05
8,2,son,Hindu,False,8.693673928062173e-05,2.571419797957771e-05,6.605214485464791e-06,1.6187581436151335e-06,3.944258675190877e-06,1.7231572752142392e-06,0.0005324590677460005,2.01456908529364e-06,0.00022951886599524403,0.09659765626871315,0.002442309005410721,0.001283675813638229,4.7285443452031076e-05,2.571419797957771e-05,1.6187581436151335e-06,1.7231572752142392e-06,0.00022951886599524403,2.01456908529364e-06,0.0005324590677460005,0.002442309005410721,4.7285443452031076e-05
9,0,child,Hindu,False,1.1061159714638084e-05,1.1843139025979655e-06,1.0783312222985275e-06,1.1726420733772349e-07,1.0129990980873922e-06,3.089494448007139e-07,0.000504134863796172,9.818326983657703e-07,0.00022170870641199087,0.00014550629385328434,6.667023092435894e-05,1.5598027633743823e-05,7.722191834067996e-06,1.1843139025979655e-06,1.1726420733772349e-07,3.089494448007139e-07,0.00022170870641199087,9.818326983657703e-07,0.000504134863796172,6.667023092435894e-05,7.722191834067996e-06
9,1,child,Hindu,False,6.070755804415097e-05,9.461262661302227e-06,3.2699273422345685e-06,8.398072034951531e-07,4.400118457925303e-06,1.3420013504783412e-06,0.0005878139045693146,1.9223170236538178e-06,0.00022417644371706703,0.000770171190275983,2.5315637215092633e-05,0.0012158119156463016,3.353501304664781e-05,9.461262661302227e-06,8.398072034951531e-07,1.3420013504783412e-06,0.00022417644371706703,1.9223170236538178e-06,0.0005878139045693146,2.5315637215092633e-05,3.353501304664781e-05
9,2,child,Hindu,False,1.6346470245419304e-05,1.6187581436151335e-06,9.818326983657703e-07,1.2482708949986417e-07,1.3007128466476034e-06,3.84493505874534e-07,1.2436225128319384e-05,4.222833444659923e-07,0.00021250413756646795,0.0007007652612809208,0.00011160142598430911,6.40200641038395e-06,3.535625074174432e-06,1.6187581436151335e-06,1.2482708949986417e-07,3.84493505874534e-07,0.00021250413756646795,4.222833444659923e-07,1.2436225128319384e-05,0.00011160142598430911,3.535625074174432e-06
10,0,daughter,Hindu,False,3.514382632807918e-05,4.98595821272702e-06,1.9525885208642222e-06,3.726639284186561e-07,2.1782649863110498e-06,7.889262586245034e-07,0.000534080844953937,1.8925148246037342e-06,0.00023316533255432313,0.010375333996460123,0.00020829707830458003,0.00048509359967748836,1.0889691002655445e-05,4.98595821272702e-06,3.726639284186561e-07,7.889262586245034e-07,0.00023316533255432313,1.8925148246037342e-06,0.000534080844953937,0.00020829707830458003,1.0889691002655445e-05
10,1,daughter,Hindu,False,6.563728324346652e-05,4.683888424952456e-06,2.4682904407607285e-06,2.123378462433771e-07,1.0783312222985275e-06,3.288749065460498e-07,0.0005838015163717495,1.6964426510543331e-06,0.0002410592996703374,0.0007226435938923609,5.357805383473943e-05,0.0004960569708019354,1.1235328063870752e-05,4.683888424952456e-06,2.123378462433771e-07,3.288749065460498e-07,0.0002410592996703374,1.6964426510543331e-06,0.0005838015163717495,5.357805383473943e-05,1.1235328063870752e-05
10,2,daughter,Hindu,False,2.3782205064034188e-05,1.7231572752142392e-06,1.3420013504783412e-06,1.0348531401872454e-07,9.818326983657703e-07,1.9333584585546466e-07,0.0004627493534150243,4.936988949458183e-07,5.920916517463734e-06,0.0007470393220393539,3.569706350376584e-05,1.0554685795431098e-05,4.264746818557914e-06,1.7231572752142392e-06,1.0348531401872454e-07,1.9333584585546466e-07,5.920916517463734e-06,4.936988949458183e-07,0.0004627493534150243,3.569706350376584e-05,4.264746818557914e-06
11,0,son,Hindu,False,8.559006367452268e-05,1.15919343186331e-05,5.920916517463734e-06,8.398072034951531e-07,1.2931563954607948e-05,1.9525885208642222e-06,0.0005197481018433826,2.6688529572628562e-06,0.00022570493397209223,0.0030654830851861575,0.0003565736662361027,0.0005130006664921807,1.7952796934677738e-05,1.15919343186331e-05,8.398072034951531e-07,1.9525885208642222e-06,0.00022570493397209223,2.6688529572628562e-06,0.0005197481018433826,0.0003565736662361027,1.7952796934677738e-05
11,1,son,Hindu,False,4.802972318863164e-05,7.368592981140821e-06,3.4268490542555014e-06,4.78509449489012e-07,2.4300240743279605e-06,8.398072034951531e-07,0.0005001042000397146,1.2805474213228684e-06,0.00021978822261505042,0.020264755330478605,0.0007815888789288626,0.0005147819588703148,1.6346470245419304e-05,7.368592981140821e-06,4.78509449489012e-07,8.398072034951531e-07,0.00021978822261505042,1.2805474213228684e-06,0.0005001042000397146,0.0007815888789288626,1.6346470245419304e-05
11,2,son,Hindu,False,3.625900662832244e-05,7.967300986103147e-06,3.4268490542555014e-06,7.646537350121258e-07,3.4808121961114687e-06,1.3007128466476034e-06,0.00046416927920648823,8.80110037979258e-07,0.00021320602528870992,0.010267683829227305,0.00028449096649795007,0.0006001064513491806,2.1654404989510328e-05,7.967300986103147e-06,7.646537350121258e-07,1.3007128466476034e-06,0.00021320602528870992,8.80110037979258e-07,0.00046416927920648823,0.00028449096649795007,2.1654404989510328e-05
12,0,child,Hindu,False,3.150386940813393e-05,4.1335397768930325e-06,2.01456908529364e-06,3.1875652166284776e-07,2.3187477504664324e-06,4.78509449489012e-07,0.000468757999308423,6.540437226933637e-07,0.00021166499492301485,0.0030362197762342016,0.000275762236739541,0.000493111798506495,1.1235328063870752e-05,4.1335397768930325e-06,3.1875652166284776e-07,4.78509449489012e-07,0.00021166499492301485,6.540437226933637e-07,0.000468757999308423,0.000275762236739541,1.1235328063870752e-05
12,1,child,Hindu,False,0.0005765709440160247,9.314593042575101e-06,4.006369222920725e-06,3.3931448129766124e-07,1.8925148246037342e-06,5.77192003016332e-07,0.00048407947820627276,1.670142184809518e-06,0.00021453243307176662,0.01962026187455833,8.295891883591029e-05,0.0005071863494234538,1.3982207564732913e-05,9.314593042575101e-06,3.3931448129766124e-07,5.77192003016332e-07,0.00021453243307176662,1.670142184809518e-06,0.00048407947820627276,8.295891883591029e-05,1.3982207564732913e-05
12,2,child,Hindu,False,1.535623976496012e-05,2.2827997192887966e-06,1.7778551863194697e-06,1.7603432133424857e-07,1.6187581436151335e-06,4.356879983467376e-07,0.0005003569527817763,9.818326983657703e-07,0.00022477355484446784,0.0028179309367027785,0.00017821963223663923,1.6603846953733614e-05,7.722191834067996e-06,2.2827997192887966e-06,1.7603432133424857e-07,4.356879983467376e-07,0.00022477355484446784,9.818326983657703e-07,0.0005003569527817763,0.00017821963223663923,7.722191834067996e-06
13,0,daughter,Muslim,False,8.559006367452268e-05,9.461262661302227e-06,4.331903899346328e-06,5.255395707074638e-07,3.2192334497037803e-06,1.1125607488784412e-06,0.0005404331297623146,1.6187581436151335e-06,0.00022951886599524403,0.019976509190057674,0.0005260852257235712,0.0005633490590837672,2.1654404989510328e-05,9.461262661302227e-06,5.255395707074638e-07,1.1125607488784412e-06,0.00022951886599524403,1.6187581436151335e-06,0.0005404331297623146,0.0005260852257235712,2.1654404989510328e-05
13,1,daughter,Muslim,False,3.3015272509780104e-05,7.2543618230189156e-06,2.931153855960119e-06,4.0929110499856e-07,2.97731143841062e-06,1.0451548051737735e-06,0.0006058880424669403,2.4682904407607285e-06,0.00024162124279489402,0.019468534921721643,0.00037362205834114967,0.0005166197289884592,1.488384825728813e-05,7.2543618230189156e-06,4.0929110499856e-07,1.0451548051737735e-06,0.00024162124279489402,2.4682904407607285e-06,0.0006058880424669403,0.00037362205834114967,1.488384825728813e-05
13,2,daughter,Muslim,False,1.971694219622292e-05,2.931153855960119e-06,2.4300240743279605e-06,2.1907815825757866e-07,2.0462932829931794e-06,4.6378732973537256e-07,0.0005072868472289325,1.4738981974494932e-06,0.00022120585807682417,0.010327781932783636,0.0002736221099148039,0.0004985843679459446,1.9110431587777674e-05,2.931153855960119e-06,2.1907815825757866e-07,4.6378732973537256e-07,0.00022120585807682417,1.4738981974494932e-06,0.0005072868472289325,0.0002736221099148039,1.9110431587777674e-05
14,0,son,Muslim,False,1.7674513810355872e-05,2.931153855960119e-06,1.5689549727726036e-06,1.994729721527057e-07,1.9525885208642222e-06,6.339210403977636e-07,0.0005001042000397146,9.223470110117277e-07,0.00022096026380031539,0.0008138567562898873,0.00013045066466158166,0.0005019738542559919,1.6865275398914433e-05,2.931153855960119e-06,1.994729721527057e-07,6.339210403977636e-07,0.00022096026380031539,9.223470110117277e-07,0.0005001042000397146,0.00013045066466158166,1.6865275398914433e-05
14,1,son,Muslim,False,3.682979260160596e-05,3.4268490542555014e-06,3.321419494792514e-06,2.9023119852110973e-07,1.9525885208642222e-06,6.144174602214718e-07,0.0005138781215314744,1.9525885208642222e-06,0.0002227627797192805,0.002722381836565666,0.00016484829418512883,1.5118199327273332e-05,6.605214485464791e-06,3.4268490542555014e-06,2.9023119852110973e-07,6.144174602214718e-07,0.0002227627797192805,1.9525885208642222e-06,0.0005138781215314744,0.00016484829418512883,6.605214485464791e-06
14,2,son,Muslim,False,9.253848866495987e-05,2.453694805426225e-05,5.391084403253366e-06,1.8342893327886845e-06,6.302758756443267e-06,2.1444948420913954e-06,0.041371487881702876,0.00022997773212189005,0.00046648699651563727,0.000770171190275983,8.426423087564058e-05,0.01632587434337637,0.0015957748310576833,2.453694805426225e-05,1.8342893327886845e-06,2.1444948420913954e-06,0.00046648699651563727,0.00022997773212189005,0.041371487881702876,8.426423087564058e-05,0.0015957748310576833
15,0,child,Muslim,False,0.005708335985276235,0.0008352670812445233,2.4923252458203565e-05,5.738759521437678e-06,1.6603846953733614e-05,9.461262661302227e-06,0.0004925154416755756,3.120191139396651e-06,0.00022303674997692745,0.002887025252971318,0.00017821963223663923,0.046991252743081205,0.0015667662665134982,0.0008352670812445233,5.738759521437678e-06,9.461262661302227e-06,0.00022303674997692745,3.120191139396651e-06,0.0004925154416755756,0.00017821963223663923,0.0015667662665134982
15,1,child,Muslim,False,3.799845147518645e-05,8.349627818261147e-06,2.796930302582677e-06,8.139692624947503e-07,6.10885510164857e-06,3.944258675190877e-06,0.0004952508080780285,1.2219076020491008e-06,0.00022570493397209223,0.000924470062878294,0.00014325365947100792,0.0005479579113182372,1.1235328063870752e-05,8.349627818261147e-06,8.139692624947503e-07,3.944258675190877e-06,0.00022570493397209223,1.2219076020491008e-06,0.0004952508080780285,0.00014325365947100792,1.1235328063870752e-05
15,2,child,Muslim,False,3.9204178923762816e-05,3.321419494792514e-06,3.024195853395102e-06,1.7603432133424857e-07,1.0451548051737735e-06,3.84493505874534e-07,0.0004757743918954101,9.516251694168764e-07,0.00021527750928249177,5.8840881855693875e-05,2.868540823874629e-05,0.0005147819588703148,2.1654404989510328e-05,3.321419494792514e-06,1.7603432133424857e-07,3.84493505874534e-07,0.00021527750928249177,9.516251694168764e-07,0.0004757743918954101,2.868540823874629e-05,2.1654404989510328e-05
16,0,daughter,Muslim,False,3.740956047302422e-05,6.014151777699533e-06,3.6478537675800286e-06,2.9023119852110973e-07,2.840974294610978e-06,5.77192003016332e-07,0.0005087019971338281,2.586743108135441e-06,0.00023189247385640036,0.01039994113137539,0.00029349517447137377,0.00048598979794611563,1.1235328063870752e-05,6.014151777699533e-06,2.9023119852110973e-07,5.77192003016332e-07,0.00023189247385640036,2.586743108135441e-06,0.0005087019971338281,0.00029349517447137377,1.1235328063870752e-05
16,1,daughter,Muslim,False,3.569706350376584e-05,3.4268490542555014e-06,2.5071593847983196e-06,2.6425858208426533e-07,1.3420013504783412e-06,3.84493505874534e-07,0.00046941405001030257,7.411279871974134e-07,0.00021891431472897835,0.00013250224172131609,7.554056327295277e-05,0.00048380070743405816,9.915273115920183e-06,3.4268490542555014e-06,2.6425858208426533e-07,3.84493505874534e-07,0.00021891431472897835,7.411279871974134e-07,0.00046941405001030257,7.554056327295277e-05,9.915273115920183e-06
16,2,daughter,Muslim,False,4.442183589214344e-05,3.8831109868779005e-06,2.840974294610978e-06,2.4824800371656586e-07,1.2606946239951315e-06,3.84493505874534e-07,0.0004661382377368219,4.356879983467376e-07,5.144221374220898e-06,0.0029916792480845764,0.000275762236739541,0.0005138843625860062,1.9110431587777674e-05,3.8831109868779005e-06,2.4824800371656586e-07,3.84493505874534e-07,5.144221374220898e-06,4.356879983467376e-07,0.0004661382377368219,0.000275762236739541,1.9110431587777674e-05
17,0,son,Muslim,False,0.0006230092919928882,2.8240807799315707e-05,9.314593042575101e-06,6.962256250138369e-07,2.212566909570261e-06,1.0783312222985275e-06,0.0005309570420757979,2.97731143841062e-06,0.0002410592996703374,0.00017821963223663923,5.8840881855693875e-05,0.010202649223133072,3.250358452365473e-05,2.8240807799315707e-05,6.962256250138369e-07,1.0783312222985275e-06,0.0002410592996703374,2.97731143841062e-06,0.0005309570420757979,5.8840881855693875e-05,3.250358452365473e-05
