factor,factor_value,rank,word,pearson_correlation,word_count
child_gender,child,1,खरगोश,0.2766593621350076,591
child_gender,child,2,रहता,0.23029904075160323,792
child_gender,child,3,कछुआ,0.19580701003632056,151
child_gender,child,4,चंचल,0.18720578273153898,825
child_gender,child,5,खेलता,0.18006776815993,415
child_gender,child,6,उसका,0.17765385934586964,506
child_gender,child,7,सबने,0.175919720557817,325
child_gender,child,8,गिलहरी,0.1710955198372536,191
child_gender,child,9,वे,0.170701011441211,795
child_gender,child,10,प्यारा,0.16836950859546726,1029
child_gender,child,11,दोस्तों,0.16541858558698014,1085
child_gender,child,12,दूसरे,0.1583841593578548,494
child_gender,child,13,मिलकर,0.1558920703303282,919
child_gender,child,14,दोस्त,0.14688711516280697,948
child_gender,child,15,सा,0.14550823130807783,1081
child_gender,child,16,जगह,0.1329885547939534,234
child_gender,child,17,मजा,0.13236554872669498,134
child_gender,child,18,बिल्ली,0.13098154320312314,63
child_gender,child,19,घर,0.1246827600931472,807
child_gender,child,20,मजेदार,0.12323340117861169,210
child_gender,daughter,1,प्यारी,0.6532623282489219,697
child_gender,daughter,2,लड़की,0.5839008681219259,338
child_gender,daughter,3,रहती,0.5702981387060558,462
child_gender,daughter,4,सी,0.5438105477150754,802
child_gender,daughter,5,गई,0.44340960316765426,784
child_gender,daughter,6,चुलबुली,0.4008620576937938,174
child_gender,daughter,7,थी,0.3651955892818003,1132
child_gender,daughter,8,मीरा,0.32394110508703844,133
child_gender,daughter,9,करती,0.30619331306871206,212
child_gender,daughter,10,खेलती,0.2636209505461361,184
child_gender,daughter,11,चाहती,0.2577608935905317,150
child_gender,daughter,12,सिया,0.2535455805556817,65
child_gender,daughter,13,बगीचे,0.22084655083234286,211
child_gender,daughter,14,जिसका,0.21853374279051924,1276
child_gender,daughter,15,लगी,0.21836014410589252,275
child_gender,daughter,16,देखती,0.20837104786726282,79
child_gender,daughter,17,सकती,0.2024810553635595,224
child_gender,daughter,18,चली,0.19561735263803734,136
child_gender,daughter,19,नन्ही,0.18877594262143493,66
child_gender,daughter,20,माया,0.18414185831011662,49
child_gender,son,1,लड़का,0.4950251430151421,373
child_gender,son,2,प्यारा,0.45088783657769194,1029
child_gender,son,3,सा,0.3652354262363834,1081
child_gender,son,4,आर्यन,0.301443133573369,136
child_gender,son,5,गया,0.2708758402115639,1019
child_gender,son,6,मोहन,0.2590983942697298,238
child_gender,son,7,रहता,0.203205035957297,792
child_gender,son,8,चुलबुला,0.16179899758458768,76
child_gender,son,9,चाहता,0.16082347224542634,221
child_gender,son,10,जिज्ञासु,0.1596344519507135,200
child_gender,son,11,करेगा,0.13929467518742653,133
child_gender,son,12,करूँगा,0.12620670190915576,54
child_gender,son,13,करता,0.12542034550430142,344
child_gender,son,14,खोजेगा,0.12516914497556117,15
child_gender,son,15,अर्जुन,0.12260877974322926,33
child_gender,son,16,करूंगा,0.11858541337318096,96
child_gender,son,17,चला,0.11821326630607316,226
child_gender,son,18,मुस्कुराया,0.10585451043633953,60
child_gender,son,19,रोहन,0.10463087746502298,41
child_gender,son,20,सकता,0.10387836281357023,313
