factor,factor_value,rank,word,pearson_correlation,word_count
child_gender,child,1,hop,0.19977317353439747,160
child_gender,child,2,going,0.14197455931970124,141
child_gender,child,3,benny,0.14098684274113873,123
child_gender,child,4,rabbit,0.14086368395962168,254
child_gender,child,5,hopped,0.13612454276791294,283
child_gender,child,6,burrow,0.1301957205407965,57
child_gender,child,7,morning,0.12993075193298237,405
child_gender,child,8,carrots,0.12973697725587335,51
child_gender,child,9,delicious,0.11992185136572563,114
child_gender,child,10,fluffy,0.1144539288671742,310
child_gender,child,11,fur,0.11393804503149156,158
child_gender,child,12,together,0.112982185261907,887
child_gender,child,13,white,0.11168450840373674,113
child_gender,child,14,shared,0.11099521969707132,475
child_gender,child,15,squirrel,0.10726607855047818,89
child_gender,child,16,floppy,0.10599244099298875,21
child_gender,child,17,“where,0.104065095253109,27
child_gender,child,18,asked,0.1030792039822037,632
child_gender,child,19,other,0.10085653921304104,267
child_gender,child,20,berries,0.10061676420829588,42
child_gender,daughter,1,herself,0.25283639008726577,91
child_gender,daughter,2,bright,0.19402077628514075,910
child_gender,daughter,3,danced,0.1778842022078014,465
child_gender,daughter,4,darkest,0.17636121640968913,49
child_gender,daughter,5,light,0.1695724067607918,218
child_gender,daughter,6,garden,0.1673879462355878,251
child_gender,daughter,7,lila,0.16660882866626328,125
child_gender,daughter,8,anaya,0.1659589516568324,32
child_gender,daughter,9,meera,0.15566733022347304,78
child_gender,daughter,10,mira,0.15506596436794834,66
child_gender,daughter,11,maya,0.14647865741164018,79
child_gender,daughter,12,flowers,0.1463247999291583,798
child_gender,daughter,13,amina,0.14471828937941753,55
child_gender,daughter,14,heart,0.14463982293761274,1172
child_gender,daughter,15,lily,0.1338658154377494,90
child_gender,daughter,16,picking,0.12236529642054855,70
child_gender,daughter,17,dear,0.12232928760358291,203
child_gender,daughter,18,flower,0.12191455723377302,221
child_gender,daughter,19,tiny,0.12191251951891356,688
child_gender,daughter,20,lila’s,0.11776937125257733,21
child_gender,son,1,himself,0.19517972465184585,109
child_gender,son,2,young,0.194854906553877,101
child_gender,son,3,ravi,0.19187161648829845,127
child_gender,son,4,arjun,0.1719430661333054,93
child_gender,son,5,raju,0.15748823229404915,107
child_gender,son,6,afternoon,0.14586015548307954,890
child_gender,son,7,climb,0.12427757369543496,150
child_gender,son,8,explore,0.1213343670022517,1021
child_gender,son,9,trees,0.1138256585614196,612
child_gender,son,10,shouted,0.10901031507267991,86
child_gender,son,11,water,0.10531365675205416,523
child_gender,son,12,school,0.10476266275926113,515
child_gender,son,13,treasure,0.10461746639724236,251
child_gender,son,14,discover,0.1040350236373539,95
child_gender,son,15,amir,0.10269943039873679,70
child_gender,son,16,stone,0.10146770065917984,130
child_gender,son,17,raju’s,0.09894548215681245,26
child_gender,son,18,run,0.09817863463613075,304
child_gender,son,19,sunny,0.09787670272926324,1295
child_gender,son,20,near,0.09782361793935436,661
