factor,factor_value,rank,word,pearson_correlation,word_count
ethnicity,Assamese,1,assam,0.6619684623172605,8
ethnicity,Assamese,2,elephant,0.2995810287929846,14
ethnicity,Assamese,3,lift,0.23762970442158066,8
ethnicity,Assamese,4,babu,0.2090408786892102,10
ethnicity,Assamese,5,ella,0.20085883659477258,5
ethnicity,Assamese,6,echoing,0.18104004622231862,6
ethnicity,Assamese,7,chatting,0.18104004622231862,6
ethnicity,Assamese,8,twigs,0.17072897339815246,14
ethnicity,Assamese,9,swinging,0.15276196370052048,8
ethnicity,Assamese,10,created,0.15276195284244473,8
ethnicity,Assamese,11,nature,0.1448413538543238,44
ethnicity,Assamese,12,miss,0.14212484939299974,9
ethnicity,Assamese,13,lush,0.14134060962476824,31
ethnicity,Assamese,14,trunk,0.13506289701539742,33
ethnicity,Assamese,15,arrived,0.1333476391144724,49
ethnicity,Assamese,16,water,0.12671465396235257,249
ethnicity,Assamese,17,okay,0.12511152551964924,11
ethnicity,Assamese,18,riverbank,0.12327827849071242,54
ethnicity,Assamese,19,swayed,0.11813249298867486,12
ethnicity,Assamese,20,showing,0.11813249298867486,12
ethnicity,Awadhi,1,raj,0.20085883659477252,5
ethnicity,Awadhi,2,waving,0.19763994611075025,11
ethnicity,Awadhi,3,goat,0.1810400462223186,6
ethnicity,Awadhi,4,beyond,0.16546142959178198,7
ethnicity,Awadhi,5,laugh,0.1569114750265447,16
ethnicity,Awadhi,6,aditi,0.15276195284244473,8
ethnicity,Awadhi,7,wherever,0.1421248493929997,9
ethnicity,Awadhi,8,heroes,0.1330260137113156,10
ethnicity,Awadhi,9,farmer,0.13302601371131556,10
ethnicity,Awadhi,10,scampered,0.13302601371131556,10
ethnicity,Awadhi,11,babu,0.13302601371131556,10
ethnicity,Awadhi,12,because,0.1324401842673256,67
ethnicity,Awadhi,13,tonight,0.1266352780582419,22
ethnicity,Awadhi,14,gentle,0.11924652796323855,230
ethnicity,Awadhi,15,sweetest,0.11813249298867486,12
ethnicity,Awadhi,16,asking,0.11540613460293525,25
ethnicity,Awadhi,17,“why,0.11205445836247116,26
ethnicity,Awadhi,18,tug,0.10980573440691561,43
ethnicity,Awadhi,19,tucked,0.10293689872853586,29
ethnicity,Awadhi,20,that’s,0.10121406479773125,15
ethnicity,Bengali,1,cried,0.18104006106022183,6
ethnicity,Bengali,2,anywhere,0.1787187384203444,13
ethnicity,Bengali,3,greeted,0.16546142959178198,7
ethnicity,Bengali,4,short,0.16546142959178198,7
ethnicity,Bengali,5,sandwich,0.16546142959178198,7
ethnicity,Bengali,6,logs,0.15276195284244473,8
ethnicity,Bengali,7,fallen,0.1446857956683951,30
ethnicity,Bengali,8,“it’s,0.1421248493929997,9
ethnicity,Bengali,9,kitten,0.13302601371131556,10
ethnicity,Bengali,10,cry,0.13084426599876417,21
ethnicity,Bengali,11,scared,0.13009142746558447,133
ethnicity,Bengali,12,push,0.12511152551964924,11
ethnicity,Bengali,13,determined,0.12511152551964924,11
ethnicity,Bengali,14,backpack,0.12267586782382346,23
ethnicity,Bengali,15,herself,0.11889051998285168,39
ethnicity,Bengali,16,floating,0.11813249298867487,12
ethnicity,Bengali,17,moon,0.1088684770853294,27
ethnicity,Bengali,18,saw,0.10838182603292577,318
ethnicity,Bengali,19,back,0.10764336193861272,358
ethnicity,Bengali,20,waiting,0.10439931418017685,87
ethnicity,Bhil,1,bhil,0.5724779840003047,6
ethnicity,Bhil,2,needs,0.19763994611075028,11
ethnicity,Bhil,3,afraid,0.18516715524485142,31
ethnicity,Bhil,4,fire,0.18104004622231862,6
ethnicity,Bhil,5,tonight,0.17832314665344268,22
ethnicity,Bhil,6,painted,0.16735251102763243,36
ethnicity,Bhil,7,story,0.15326999796738605,91
ethnicity,Bhil,8,chuckled,0.15276195284244473,8
ethnicity,Bhil,9,sing,0.15259419290465584,41
ethnicity,Bhil,10,finished,0.15259419290465584,41
ethnicity,Bhil,11,ago,0.14529913541927345,18
ethnicity,Bhil,12,feathers,0.14468579566839515,30
ethnicity,Bhil,13,work,0.14013713954229687,19
