factor,factor_value,rank,word,pearson_correlation,word_count
nationality,Afghanistan,1,सुनने,0.1673320063823909,48
nationality,Afghanistan,2,तरीके,0.1640216822477181,7
nationality,Afghanistan,3,ढलता,0.1613249176757827,15
nationality,Afghanistan,4,माननी,0.15118578974756328,8
nationality,Afghanistan,5,पाता,0.14042191327843548,9
nationality,Afghanistan,6,गोद,0.14042190433862434,9
nationality,Afghanistan,7,कहाँ,0.13272533656149835,20
nationality,Afghanistan,8,छूने,0.13272533656149832,20
nationality,Afghanistan,9,छूना,0.13120408826538765,10
nationality,Afghanistan,10,कहते,0.1312040803348583,10
nationality,Afghanistan,11,आओ,0.12868710449948575,34
nationality,Afghanistan,12,सपनों,0.12659882668390351,206
nationality,Afghanistan,13,बारिश,0.12386994340730978,22
nationality,Afghanistan,14,समाप्त,0.12317702136993698,11
nationality,Afghanistan,15,सुनाएंगी,0.12317702136993698,11
nationality,Afghanistan,16,शौक,0.10975332933940499,123
nationality,Afghanistan,17,मीठे,0.10858968105933729,101
nationality,Afghanistan,18,खेलेंगे,0.10263159521918576,28
nationality,Afghanistan,19,नन्हे,0.09887656244644746,15
nationality,Afghanistan,20,मेरे,0.09293295684052158,141
nationality,America,1,ढूंढते,0.17974913972480927,6
nationality,America,2,गहरा,0.17974912574218055,6
nationality,America,3,गिनते,0.17974912574218052,6
nationality,America,4,सफेद,0.17058758004114316,23
nationality,America,5,मतलब,0.1568433342159955,26
nationality,America,6,बीच,0.148535766935212,56
nationality,America,7,छत,0.14285715451560596,18
nationality,America,8,छोड़कर,0.14042191327843548,9
nationality,America,9,उठी,0.14042191327843545,9
nationality,America,10,रहे,0.1345194823820137,223
nationality,America,11,बैग,0.13120408826538765,10
nationality,America,12,जबकि,0.13120408826538765,10
nationality,America,13,हंस,0.13120408033485834,10
nationality,America,14,यादें,0.12317702136993698,11
nationality,America,15,ठिकाना,0.12317702136993698,11
nationality,America,16,खिलौने,0.12317702136993698,11
nationality,America,17,टोटो,0.12317702136993697,11
nationality,America,18,झूम,0.12317702136993693,11
nationality,America,19,कौआ,0.10976389440887017,13
nationality,America,20,पिकनिक,0.10976388274356517,13
nationality,Australia,1,इंतज़ार,0.20469384295985854,26
nationality,Australia,2,क्रिकेट,0.19973321454063234,5
nationality,Australia,3,निकलेंगे,0.1997332145406323,5
nationality,Australia,4,सुरक्षित,0.170802884153863,34
nationality,Australia,5,बहादुरी,0.16864953971844932,14
nationality,Australia,6,अनुभवों,0.1686495397184493,14
nationality,Australia,7,हटाया,0.16402169406964678,7
nationality,Australia,8,काश,0.16132491767578272,15
nationality,Australia,9,फंस,0.15464480063532515,16
nationality,Australia,10,चिड़ियाँ,0.15118578974756328,8
nationality,Australia,11,आईं,0.14042191327843548,9
nationality,Australia,12,ताजगी,0.14042191327843548,9
nationality,Australia,13,रूप,0.14042191327843548,9
nationality,Australia,14,खड़े,0.14042191327843545,9
nationality,Australia,15,दिखा,0.14042190433862436,9
nationality,Australia,16,शानदार,0.13120408033485834,10
nationality,Australia,17,बाहर,0.12834672821012405,106
nationality,Australia,18,बंटी,0.128156852449461,21
nationality,Australia,19,वापस,0.12367972208551112,110
nationality,Australia,20,आपको,0.12317702136993697,11
nationality,Bangladesh,1,सूखे,0.1997332145406324,5
nationality,Bangladesh,2,मछलियों,0.1997332145406324,5
nationality,Bangladesh,3,पेड़ों,0.1783403540546569,44
nationality,Bangladesh,4,वाली,0.1640216940696468,7
nationality,Bangladesh,5,खुली,0.16402168224771815,7
nationality,Bangladesh,6,पुराना,0.1611754525211467,25
nationality,Bangladesh,7,फूलों,0.1542273185360997,126
nationality,Bangladesh,8,मछलियाँ,0.1511857999485256,8
nationality,Bangladesh,9,गा,0.1511857897475633,8
nationality,Bangladesh,10,काम,0.15115673436990296,71
nationality,Bangladesh,11,भरा,0.14893422602922918,41
nationality,Bangladesh,12,ताजगी,0.1404219132784355,9
nationality,Bangladesh,13,चढ़ना,0.13272533656149835,20
nationality,Bangladesh,14,खुशियाँ,0.131114890307681,65
nationality,Bangladesh,15,हरा,0.12815685244946104,21
nationality,Bangladesh,16,पकड़ना,0.12317702136993701,11
nationality,Bangladesh,17,बेहतर,0.12317702136993698,11
nationality,Bangladesh,18,पानी,0.11957892380929017,92
nationality,Bangladesh,19,बिरंगी,0.11768337798742963,38
nationality,Bangladesh,20,किताबें,0.11609086170863064,12
nationality,Bhutan,1,देगी,0.19973321454063236,5
nationality,Bhutan,2,गाती,0.19973321454063236,5
nationality,Bhutan,3,हंसमुख,0.17974912574218058,6
nationality,Bhutan,4,सामना,0.17834033292804286,44
nationality,Bhutan,5,डरो,0.16732843050768514,35
nationality,Bhutan,6,साहस,0.1568433342159955,26
nationality,Bhutan,7,बिलकुल,0.1568433342159955,26
nationality,Bhutan,8,उड़ान,0.15464794607488722,39
nationality,Bhutan,9,तोड़,0.15118578974756328,8
nationality,Bhutan,10,सोच,0.1415194077547912,30
nationality,Bhutan,11,करूँ,0.14042191327843548,9
nationality,Bhutan,12,ढल,0.14042190433862434,9
nationality,Bhutan,13,मत,0.13289637973463106,64
nationality,Bhutan,14,रोमांचक,0.13120408826538763,10
nationality,Bhutan,15,रोज,0.13120408033485834,10
nationality,Bhutan,16,तोड़ने,0.12317702136993697,11
nationality,Bhutan,17,सुनाना,0.12317702136993697,11
nationality,Bhutan,18,इसी,0.12028965929238461,37
nationality,Bhutan,19,नींद,0.12028965929238458,37
nationality,Bhutan,20,उड़ना,0.1198342504421254,23
nationality,Brazil,1,लाया,0.23323874904744882,14
nationality,Brazil,2,स्वागत,0.17974912574218063,6
nationality,Brazil,3,कौआ,0.17673847404818072,13
nationality,Brazil,4,काला,0.17058758004114327,23
nationality,Brazil,5,बिताते,0.1640216940696468,7
nationality,Brazil,6,हारी,0.1640216940696468,7
nationality,Brazil,7,झूलने,0.14042190433862436,9
nationality,Brazil,8,पार्क,0.14042190433862436,9
nationality,Brazil,9,झूला,0.14042190433862436,9
nationality,Brazil,10,रोहन,0.13761122230075168,19
nationality,Brazil,11,बनाई,0.1347129098162476,63
nationality,Brazil,12,पत्तियाँ,0.1312040882653876,10
nationality,Brazil,13,शायद,0.12868709589932673,34
nationality,Brazil,14,सबका,0.12317702136993698,11
nationality,Brazil,15,विशेष,0.1198342504421254,23
nationality,Brazil,16,उनका,0.1160908617086306,12
nationality,Brazil,17,अकेली,0.10976388274356515,13
nationality,Brazil,18,अंत,0.10971543015038593,59
nationality,Brazil,19,कुत्ता,0.10807002098905114,42
nationality,Brazil,20,कदम,0.10406036495963099,14
nationality,Britain,1,खेलो,0.1997332145406323,5
nationality,Britain,2,झूम,0.1958716569325227,11
nationality,Britain,3,चोट,0.17974912574218055,6
nationality,Britain,4,खजाने,0.16864955700353987,14
nationality,Britain,5,नन्ही,0.1568433342159955,26
nationality,Britain,6,तोड़ना,0.15118579994852555,8
nationality,Britain,7,लाखों,0.15118578974756328,8
nationality,Britain,8,कुत्ते,0.14851428321790497,17
nationality,Britain,9,खोला,0.14042190433862434,9
nationality,Britain,10,घूमना,0.1327253365614983,20
nationality,Britain,11,वाह,0.128156852449461,21
nationality,Britain,12,नटखट,0.12386993321523647,22
nationality,Britain,13,बनी,0.12317702136993698,11
nationality,Britain,14,निकलता,0.12317702136993698,11
nationality,Britain,15,डरावना,0.12317702136993697,11
nationality,Britain,16,बाकी,0.11983425044212533,23
nationality,Britain,17,रहो,0.11609086170863063,12
nationality,Britain,18,इन,0.11609086170863063,12
nationality,Britain,19,जवाब,0.11609086170863063,12
nationality,Britain,20,सम्मान,0.1160908617086306,12
nationality,Canada,1,मिट्टी,0.23622779648056766,8
nationality,Canada,2,दौड़ना,0.23090006996240361,30
nationality,Canada,3,मनाने,0.19973321454063234,5
nationality,Canada,4,आमंत्रित,0.19973321454063234,5
nationality,Canada,5,सफलता,0.19973321454063234,5
nationality,Canada,6,गलती,0.1797491397248093,6
nationality,Canada,7,नाश्ता,0.17974912574218055,6
nationality,Canada,8,उसी,0.17974912574218052,6
nationality,Canada,9,बीतते,0.17974912574218052,6
nationality,Canada,10,मुस्कराया,0.16402168224771815,7
nationality,Canada,11,आएगी,0.15118578974756328,8
nationality,Canada,12,देना,0.14508399285021398,29
nationality,Canada,13,छूना,0.13120408826538763,10
nationality,Canada,14,गाया,0.13120408033485834,10
nationality,Canada,15,देखोगे,0.1312040803348583,10
nationality,Canada,16,नाचने,0.12317702136993697,11
nationality,Canada,17,बिताई,0.12317702136993697,11
nationality,Canada,18,जीत,0.11983425044212535,23
nationality,Canada,19,चंचल,0.11956561726753324,311
nationality,Canada,20,अलविदा,0.11602387046704526,24
nationality,China,1,गाते,0.18574537873380897,12
nationality,China,2,बनेगा,0.16402169406964678,7
nationality,China,3,सोचने,0.16227010342256487,50
nationality,China,4,लगेगा,0.15118578974756328,8
nationality,China,5,गिर,0.14893422602922915,41
nationality,China,6,साहसिक,0.14851428321790497,17
nationality,China,7,परी,0.14851428321790494,17
nationality,China,8,शुरुआत,0.14285715451560596,18
nationality,China,9,बचाने,0.14042191327843548,9
nationality,China,10,चलें,0.14042191327843548,9
nationality,China,11,झूलने,0.14042190433862434,9
nationality,China,12,पार्क,0.14042190433862434,9
nationality,China,13,झूला,0.14042190433862434,9
nationality,China,14,पकड़ा,0.13272533656149832,20
nationality,China,15,मेरा,0.1327253365614983,20
nationality,China,16,बुरा,0.13120408826538763,10
nationality,China,17,जान,0.12386993321523644,22
nationality,China,18,मान,0.12317702136993697,11
nationality,China,19,करता,0.12139539904964618,135
nationality,China,20,मांगी,0.11983426009312252,23
nationality,Egypt,1,किस्से,0.17974912574218055,6
nationality,Egypt,2,महान,0.17974912574218055,6
nationality,Egypt,3,खोजी,0.16402169406964678,7
nationality,Egypt,4,लगाकर,0.16402169406964676,7
nationality,Egypt,5,बच्चों,0.1517442490749067,40
nationality,Egypt,6,राधिका,0.1511857897475633,8
nationality,Egypt,7,आदमी,0.14042191327843548,9
nationality,Egypt,8,शक्ति,0.14042191327843548,9
nationality,Egypt,9,खोला,0.14042190433862434,9
nationality,Egypt,10,तुमसे,0.13483996590456104,32
nationality,Egypt,11,एकता,0.1327253251260263,20
nationality,Egypt,12,जबकि,0.13120408826538763,10
nationality,Egypt,13,इसके,0.1312040803348583,10
nationality,Egypt,14,आपको,0.12317702136993697,11
nationality,Egypt,15,अस्त,0.11241649209458131,25
nationality,Egypt,16,रह,0.10899282547213242,26
nationality,Egypt,17,बिलकुल,0.10899282547213242,26
nationality,Egypt,18,पूरा,0.10807001444812246,42
nationality,Egypt,19,मुझसे,0.10573611160998639,27
nationality,Egypt,20,किताब,0.10406036495963096,14
nationality,Ethiopia,1,गति,0.17974912574218055,6
nationality,Ethiopia,2,धूप,0.17974912574218055,6
nationality,Ethiopia,3,जमीन,0.1511857897475633,8
nationality,Ethiopia,4,सफल,0.1511857897475633,8
nationality,Ethiopia,5,लाकर,0.1511857897475633,8
nationality,Ethiopia,6,सुनता,0.14285715451560596,18
nationality,Ethiopia,7,बांटने,0.12317702136993694,11
nationality,Ethiopia,8,या,0.12317702136993694,11
nationality,Ethiopia,9,आपको,0.12317702136993694,11
nationality,Ethiopia,10,देखती,0.1229879974621855,36
nationality,Ethiopia,11,उनकी,0.11891768172601577,54
nationality,Ethiopia,12,गाते,0.11609086170863063,12
nationality,Ethiopia,13,बादलों,0.1160908617086306,12
nationality,Ethiopia,14,रहेगी,0.11609086170863059,12
nationality,Ethiopia,15,लौटने,0.11602387046704526,24
nationality,Ethiopia,16,खूब,0.11327653315769143,57
nationality,Ethiopia,17,जादू,0.11036133295691081,41
nationality,Ethiopia,18,बिताया,0.10629895008071708,61
nationality,Ethiopia,19,कूदने,0.104060364959631,14
nationality,Ethiopia,20,अर्जुन,0.10406035429436232,14
nationality,France,1,रंगीन,0.17974912574218055,6
nationality,France,2,बने,0.17974912574218055,6
nationality,France,3,सुन्दर,0.1767384552650625,13
nationality,France,4,इंतजार,0.16864955700353987,14
nationality,France,5,मज़ाक,0.16402169406964678,7
nationality,France,6,लेकर,0.15272993899220252,27
nationality,France,7,मोहन,0.1328963930098561,64
nationality,France,8,हंसी,0.1312040803348583,10
nationality,France,9,चलना,0.128156852449461,21
nationality,France,10,समाप्त,0.12317702136993697,11
nationality,France,11,निकले,0.1160908617086306,12
nationality,France,12,नदी,0.1160908617086306,12
nationality,France,13,रुक,0.11609086170863059,12
nationality,France,14,पीछा,0.11036133971191786,41
nationality,France,15,चिड़ियों,0.11036133295691082,41
nationality,France,16,खेला,0.10784145271935384,80
nationality,France,17,खोजते,0.10406036495963097,14
nationality,France,18,यहाँ,0.10381362683740541,83
nationality,France,19,वो,0.10263159521918573,28
nationality,France,20,हाथ,0.10158657220160643,45
nationality,Germany,1,दाने,0.1997332145406323,5
nationality,Germany,2,आपके,0.17974912574218052,6
nationality,Germany,3,प्रकृति,0.1757224633983587,22
nationality,Germany,4,होना,0.15464480063532515,16
nationality,Germany,5,शामिल,0.15464480063532515,16
nationality,Germany,6,सुरक्षा,0.15118578974756325,8
nationality,Germany,7,बढ़ता,0.15118578974756325,8
nationality,Germany,8,टूट,0.15118578974756325,8
nationality,Germany,9,झूला,0.14042190433862436,9
nationality,Germany,10,सहमत,0.1376112223007517,19
nationality,Germany,11,जागा,0.13120408033485834,10
nationality,Germany,12,लगाने,0.13120408033485834,10
nationality,Germany,13,मिलना,0.1312040803348583,10
nationality,Germany,14,राहत,0.13120408033485828,10
nationality,Germany,15,बारिश,0.12386994340730975,22
nationality,Germany,16,हंसने,0.12317702136993698,11
nationality,Germany,17,छिपने,0.11241649209458132,25
nationality,Germany,18,खूबसूरती,0.11241649209458128,25
nationality,Germany,19,खुशबू,0.10807002098905111,42
nationality,Germany,20,जा,0.10406117874898496,105
nationality,India,1,चूहे,0.19587165693252268,11
nationality,India,2,गलती,0.17974913972480927,6
nationality,India,3,मानी,0.1673320063823909,48
nationality,India,4,मत,0.16437183809283307,64
nationality,India,5,सलाह,0.16402169406964676,7
nationality,India,6,बाँटना,0.16402168224771813,7
nationality,India,7,बूढ़े,0.1640216822477181,7
nationality,India,8,पहुंचा,0.1613249176757827,15
nationality,India,9,आए,0.15685499198331312,85
nationality,India,10,बिल्ली,0.15684333421599544,26
nationality,India,11,लें,0.15118578974756325,8
nationality,India,12,भागा,0.15118578974756325,8
nationality,India,13,नुकसान,0.14042191327843545,9
nationality,India,14,दिखा,0.14042190433862434,9
nationality,India,15,कैसे,0.13147514787187858,48
nationality,India,16,देखेगा,0.13120408033485836,10
nationality,India,17,पौधों,0.13120408033485834,10
nationality,India,18,लेटकर,0.13120408033485834,10
nationality,India,19,बांटने,0.12317702136993698,11
nationality,India,20,टोटो,0.12317702136993697,11
nationality,Indonesia,1,पुकारा,0.17974912574218058,6
nationality,Indonesia,2,खोजेंगे,0.17974912574218058,6
nationality,Indonesia,3,अकेले,0.14881581306781932,28
nationality,Indonesia,4,परी,0.148514283217905,17
nationality,Indonesia,5,आवाज,0.1410133032060077,44
nationality,Indonesia,6,जाएंगे,0.13483997517816199,32
nationality,Indonesia,7,जबकि,0.13120408826538763,10
nationality,Indonesia,8,देखेगा,0.1312040803348583,10
nationality,Indonesia,9,जागा,0.1312040803348583,10
nationality,Indonesia,10,हाथों,0.12317702136993697,11
nationality,Indonesia,11,टोकरी,0.1160908617086306,12
nationality,Indonesia,12,पौधे,0.11609086170863059,12
nationality,Indonesia,13,जोर,0.11609086170863059,12
nationality,Indonesia,14,बनाते,0.11609086170863059,12
nationality,Indonesia,15,करती,0.11496804705794189,75
nationality,Indonesia,16,माया,0.11241649209458131,25
nationality,Indonesia,17,पड़े,0.11093118103102896,99
nationality,Indonesia,18,धैर्य,0.10899282547213246,26
