factor,factor_value,rank,word,pearson_correlation,word_count
nationality,Afghanistan,1,afghanistan,0.6182355715490914,7
nationality,Afghanistan,2,mountains,0.28101047095183185,92
nationality,Afghanistan,3,amir,0.24879740961648017,56
nationality,Afghanistan,4,lift,0.2362277964805676,8
nationality,Afghanistan,5,sadness,0.22066299253212396,9
nationality,Afghanistan,6,forget,0.19973323154752484,5
nationality,Afghanistan,7,ended,0.19973321454063228,5
nationality,Afghanistan,8,swirling,0.19973321454063228,5
nationality,Afghanistan,9,nestled,0.1843547305291501,42
nationality,Afghanistan,10,breeze,0.14981567491187425,130
nationality,Afghanistan,11,pang,0.1404219132784355,9
nationality,Afghanistan,12,though,0.14042190433862434,9
nationality,Afghanistan,13,evening,0.13079917843407357,149
nationality,Afghanistan,14,stronger,0.12815684166512242,21
nationality,Afghanistan,15,between,0.12707899665622552,50
nationality,Afghanistan,16,colors,0.12487470000785857,88
nationality,Afghanistan,17,front,0.12317702136993698,11
nationality,Afghanistan,18,carried,0.12317702136993698,11
nationality,Afghanistan,19,amina,0.1229879974621855,36
nationality,Afghanistan,20,branch,0.12109241151180068,71
nationality,America,1,benny,0.31479233718071564,47
nationality,America,2,lily,0.312586273981155,39
nationality,America,3,bluebird,0.2548644784774512,7
nationality,America,4,soar,0.25486446010799285,7
nationality,America,5,hop,0.22368529214215951,53
nationality,America,6,twigs,0.22066300658039856,9
nationality,America,7,burrow,0.2072671864689443,17
nationality,America,8,cozy,0.20398595058309718,164
nationality,America,9,“now,0.19973321454063225,5
nationality,America,10,gather,0.19327418862465123,19
nationality,America,11,strong,0.19076417521374697,40
nationality,America,12,squirrels,0.18574537873380897,12
nationality,America,13,meadow,0.16996774755124905,47
nationality,America,14,rabbit,0.16834511342235983,78
nationality,America,15,yummy,0.16402169406964676,7
nationality,America,16,sammy,0.16402168224771815,7
nationality,America,17,town,0.1568433342159955,26
nationality,America,18,carrots,0.15464480063532515,16
nationality,America,19,sighed,0.15272993899220258,27
nationality,America,20,highest,0.15118578974756325,8
nationality,Australia,1,australia,0.971054928732456,17
nationality,Australia,2,kangaroo,0.9413160873919626,16
nationality,Australia,3,kiki,0.6853630231111452,14
nationality,Australia,4,town,0.6353484216546259,26
nationality,Australia,5,koala,0.6182355715490915,7
nationality,Australia,6,hop,0.4292853904515487,53
nationality,Australia,7,bounce,0.40631180994657623,8
nationality,Australia,8,bounced,0.3811451931843248,9
nationality,Australia,9,hopped,0.33942210159340686,90
nationality,Australia,10,m,0.324772992971023,17
nationality,Australia,11,looks,0.307052553696793,5
nationality,Australia,12,munching,0.3009040807256236,9
nationality,Australia,13,leaf,0.28357012625099903,10
nationality,Australia,14,hopping,0.22610713098634624,31
nationality,Australia,15,legs,0.22066299253212396,9
nationality,Australia,16,going,0.2180786688492233,55
nationality,Australia,17,rested,0.1997332145406323,5
nationality,Australia,18,jump,0.1997332145406323,5
nationality,Australia,19,head,0.19761925737511765,38
nationality,Australia,20,timmy,0.17974912574218055,6
nationality,Bangladesh,1,bangladesh,1.000000081609242,18
nationality,Bangladesh,2,banyan,0.37142860174057557,18
nationality,Bangladesh,3,amina’s,0.2548644784774512,7
nationality,Bangladesh,4,chirp,0.2548644784774512,7
nationality,Bangladesh,5,amina,0.2049799957703092,36
nationality,Bangladesh,6,released,0.1997332145406324,5
nationality,Bangladesh,7,ripe,0.19973321454063236,5
nationality,Bangladesh,8,trembling,0.1958716569325228,11
nationality,Bangladesh,9,raju,0.17974913972480933,6
nationality,Bangladesh,10,spots,0.17974912574218058,6
nationality,Bangladesh,11,rivers,0.17673845526506257,13
nationality,Bangladesh,12,wished,0.16732843050768517,35
nationality,Bangladesh,13,granted,0.16574838638149325,24
nationality,Bangladesh,14,belongs,0.16402169406964678,7
nationality,Bangladesh,15,homework,0.16402168224771815,7
nationality,Bangladesh,16,mango,0.15464478578582244,16
nationality,Bangladesh,17,note,0.15118578974756328,8
nationality,Bangladesh,18,compassion,0.142857154515606,18
nationality,Bangladesh,19,man,0.14042191327843548,9
nationality,Bangladesh,20,rush,0.1403868022226052,60
nationality,Bhutan,1,bhutan,1.0000000816092418,18
nationality,Bhutan,2,tashi,0.6584610140725254,21
nationality,Bhutan,3,valleys,0.3835258962220623,17
nationality,Bhutan,4,foot,0.307052553696793,5
nationality,Bhutan,5,valley,0.2073870947228405,10
nationality,Bhutan,6,talking,0.2072671864689443,17
nationality,Bhutan,7,rocky,0.19973321454063236,5
nationality,Bhutan,8,skipped,0.18118727415268623,21
nationality,Bhutan,9,humming,0.17974912574218055,6
nationality,Bhutan,10,mountains,0.1733894395234707,92
nationality,Bhutan,11,lhamo,0.1640216940696468,7
nationality,Bhutan,12,bleated,0.16402169406964678,7
nationality,Bhutan,13,cakes,0.16402169406964678,7
nationality,Bhutan,14,noise,0.16402168224771815,7
nationality,Bhutan,15,view,0.1611754525211467,25
nationality,Bhutan,16,hills,0.15900929991627044,102
nationality,Bhutan,17,nervous,0.15464480063532515,16
nationality,Bhutan,18,highest,0.15118578974756328,8
nationality,Bhutan,19,tune,0.15118578974756328,8
nationality,Bhutan,20,live,0.15118578974756328,8
nationality,Brazil,1,brazil,1.000000081609242,18
nationality,Brazil,2,bananas,0.30705255369679313,5
nationality,Brazil,3,monkey,0.29561549687160404,20
nationality,Brazil,4,parrot,0.28357010911082287,10
nationality,Brazil,5,flapped,0.21566740490330594,44
nationality,Brazil,6,jungle,0.20738709472284064,10
nationality,Brazil,7,i’m,0.2073870947228406,10
nationality,Brazil,8,nowhere,0.19973321454063242,5
nationality,Brazil,9,blankets,0.1997332145406324,5
nationality,Brazil,10,beak,0.1997332145406324,5
