factor,factor_value,rank,word,pearson_correlation,word_count
religion,Atheist,1,जाऊँगा,0.39440535106042673,5
religion,Atheist,2,चिकी,0.3160971827270696,7
religion,Atheist,3,बिताना,0.24759381385720952,6
religion,Atheist,4,उड़ते,0.24253560178331426,10
religion,Atheist,5,पहुँचा,0.22031014067758228,7
religion,Atheist,6,प्रकृति,0.19769342221576067,8
religion,Atheist,7,रह,0.19769342221576067,8
religion,Atheist,8,खुद,0.179776970918017,14
religion,Atheist,9,जाकर,0.17910620181591116,26
religion,Atheist,10,सीख,0.1784344676817712,9
religion,Atheist,11,हैरान,0.16903086474018297,5
religion,Atheist,12,बनाए,0.16903086474018297,5
religion,Atheist,13,ज़रूरी,0.16903086474018297,5
religion,Atheist,14,देखता,0.16903086474018297,5
religion,Atheist,15,यही,0.16903086474018292,5
religion,Atheist,16,गोद,0.16903086474018292,5
religion,Atheist,17,किसी,0.16350381867117394,28
religion,Atheist,18,साहस,0.1616904011888762,10
religion,Atheist,19,दौड़ना,0.16169039067041185,10
religion,Atheist,20,कछुए,0.16169039067041185,10
religion,Buddhist,1,पीछा,0.30151134039189315,11
religion,Buddhist,2,यहाँ,0.2607131079906376,23
religion,Buddhist,3,खेलेंगे,0.24759379330387998,6
religion,Buddhist,4,वाह,0.24759379330387998,6
religion,Buddhist,5,अपना,0.24759379330387993,6
religion,Buddhist,6,खाना,0.24253560178331418,10
religion,Buddhist,7,सुनी,0.23450883090411878,15
religion,Buddhist,8,प्रिय,0.22031015765826062,7
religion,Buddhist,9,कहीं,0.19769342221576058,8
religion,Buddhist,10,उसकी,0.1899342965759377,110
religion,Buddhist,11,पंख,0.1784344676817711,9
religion,Buddhist,12,इतना,0.1784344554819896,9
religion,Buddhist,13,छोटा,0.17114534483890165,27
religion,Buddhist,14,खुशहाल,0.16903086474018295,5
religion,Buddhist,15,पाई,0.1690308647401829,5
religion,Buddhist,16,घबरा,0.1690308647401829,5
religion,Buddhist,17,बताती,0.16903086474018286,5
religion,Buddhist,18,डरता,0.16903086474018286,5
religion,Buddhist,19,पंखों,0.16903086474018286,5
religion,Buddhist,20,ढूंढने,0.16903086474018286,5
religion,Christian,1,तैर,0.2817181079003049,5
religion,Christian,2,परेशानी,0.24759379330388004,6
religion,Christian,3,सुनाएंगी,0.2203101576582605,7
religion,Christian,4,नया,0.208965418642376,17
religion,Christian,5,गहरी,0.20786986605826765,12
religion,Christian,6,सोच,0.19769343651048085,8
religion,Christian,7,आस,0.19769342221576058,8
religion,Christian,8,उड़कर,0.19769342221576058,8
religion,Christian,9,बैठ,0.19753087155612936,18
religion,Christian,10,मजा,0.17843446768177115,9
religion,Christian,11,उसमें,0.1784344554819897,9
religion,Christian,12,दूर,0.17677669032590454,20
religion,Christian,13,निर्णय,0.16903086474018295,5
religion,Christian,14,साझा,0.1690308647401829,5
religion,Christian,15,पकड़ने,0.1690308647401829,5
religion,Christian,16,हों,0.1690308647401829,5
religion,Christian,17,होना,0.1690308647401829,5
religion,Christian,18,सुनते,0.1690308647401829,5
religion,Christian,19,आँखों,0.16728943182668154,21
religion,Christian,20,थोड़ी,0.1637678935474765,35
religion,Hindu,1,दिए,0.39440535106042673,5
religion,Hindu,2,राधा,0.34837200831288606,9
religion,Hindu,3,दौड़ते,0.2475937933038801,6
religion,Hindu,4,छोटी,0.24032606824881148,31
religion,Hindu,5,पानी,0.2357022761196152,20
religion,Hindu,6,बार,0.23276197507499946,121
religion,Hindu,7,खेलते,0.2160069208357791,56
religion,Hindu,8,खुशियाँ,0.20786986605826777,12
religion,Hindu,9,जुटाई,0.19769342221576067,8
religion,Hindu,10,लग,0.19753087155612956,18
religion,Hindu,11,तुरंत,0.19753087155612944,18
religion,Hindu,12,वापस,0.1840587677312231,32
religion,Hindu,13,डरते,0.17843445548198977,9
religion,Hindu,14,मज़ा,0.17843445548198977,9
religion,Hindu,15,खिल,0.17843444328220992,9
religion,Hindu,16,रहते,0.17677669032590448,20
religion,Hindu,17,सबको,0.17114534483890168,27
religion,Hindu,18,बुलाने,0.16903086474018303,5
religion,Hindu,19,इसलिए,0.169030864740183,5
religion,Hindu,20,कमरे,0.16903086474018297,5
religion,Jain,1,सच्ची,0.28446279111938827,26
religion,Jain,2,दौड़कर,0.2817181079003049,5
religion,Jain,3,इच्छाएँ,0.2817181079003049,5
religion,Jain,4,बाग,0.2634032438067467,9
religion,Jain,5,दी,0.2607131312646787,23
religion,Jain,6,मीठी,0.24759381385720958,6
religion,Jain,7,न,0.22271770198862567,40
religion,Jain,8,प्रिय,0.2203101576582605,7
religion,Jain,9,दूसरों,0.21484360256621998,22
religion,Jain,10,केवल,0.20896541864237608,17
religion,Jain,11,अच्छे,0.19705085227873878,37
religion,Jain,12,नीचे,0.18680998558574644,46
religion,Jain,13,ही,0.18333971761667633,112
religion,Jain,14,आराम,0.1784344676817713,9
religion,Jain,15,चली,0.1784344676817712,9
religion,Jain,16,उसमें,0.17843445548198972,9
religion,Jain,17,सीखा,0.17726512216790946,73
religion,Jain,18,मदद,0.17349447626221373,65
religion,Jain,19,गया,0.17022072320485712,116
religion,Jain,20,खुशहाल,0.169030864740183,5
religion,Jewish,1,अगर,0.3360107657445453,56
religion,Jewish,2,चीज़ें,0.24892195973263892,14
