factor,factor_value,rank,word,pearson_correlation,word_count
religion,Atheist,1,mia,0.5571359677774833,8
religion,Atheist,2,town,0.5070925942205488,5
religion,Atheist,3,leo,0.4539219543904468,6
religion,Atheist,4,smooth,0.4042259766760294,10
religion,Atheist,5,room,0.3483720559501246,9
religion,Atheist,6,glowing,0.3483720321315036,9
religion,Atheist,7,yes,0.30151135401958135,15
religion,Atheist,8,know,0.24892195973263892,14
religion,Atheist,9,chasing,0.24759379330388007,6
religion,Atheist,10,school,0.22603197003454703,62
religion,Atheist,11,magic,0.2230075705476598,27
religion,Atheist,12,doing,0.2203101576582606,7
religion,Atheist,13,landed,0.2203101576582606,7
religion,Atheist,14,wonders,0.22031014067758226,7
religion,Atheist,15,real,0.22031014067758226,7
religion,Atheist,16,lily,0.208965418642376,17
religion,Atheist,17,own,0.20786985364063282,12
religion,Atheist,18,curious,0.20761256711627818,94
religion,Atheist,19,colors,0.20652617331867237,29
religion,Atheist,20,clouds,0.19769340792104242,8
religion,Buddhist,1,maya,0.456132540592864,11
religion,Buddhist,2,peaceful,0.4090517632172088,39
religion,Buddhist,3,“why,0.39440535106042673,5
religion,Buddhist,4,important,0.3774147151391793,8
religion,Buddhist,5,words,0.2646979193783773,13
religion,Buddhist,6,frog,0.24759379330387998,6
religion,Buddhist,7,nature,0.24096578798087256,25
religion,Buddhist,8,need,0.23178449646764962,26
religion,Buddhist,9,wind,0.22420074029140777,11
religion,Buddhist,10,sounds,0.22420074029140777,11
religion,Buddhist,11,pond,0.22420074029140777,11
religion,Buddhist,12,lila,0.22420074029140777,11
religion,Buddhist,13,hills,0.22300757054765974,27
religion,Buddhist,14,your,0.22271770198862553,40
religion,Buddhist,15,difference,0.2145987796520279,28
religion,Buddhist,16,tug,0.208965418642376,17
religion,Buddhist,17,looked,0.20890725120596088,116
religion,Buddhist,18,climb,0.2078698660582676,12
religion,Buddhist,19,joyfully,0.2078698660582676,12
religion,Buddhist,20,gently,0.20019783257641102,86
religion,Christian,1,god,0.7276068526830379,10
religion,Christian,2,prayer,0.6034582579334962,7
religion,Christian,3,lily,0.4622568351785893,17
religion,Christian,4,samuel,0.4539219167093487,6
religion,Christian,5,mr,0.32338082341468355,10
religion,Christian,6,using,0.31609718272706955,7
religion,Christian,7,thanked,0.28266145377611707,21
religion,Christian,8,oak,0.28210908708371596,12
religion,Christian,9,man,0.2817180823554549,5
religion,Christian,10,pang,0.28171808235545487,5
religion,Christian,11,favorite,0.24754782273983383,43
religion,Christian,12,sighed,0.2425356333387132,10
religion,Christian,13,asking,0.24253561756101266,10
religion,Christian,14,done,0.2425356175610126,10
religion,Christian,15,blue,0.2409657879808725,25
religion,Christian,16,care,0.23249528555522908,32
religion,Christian,17,good,0.22497546368712337,21
religion,Christian,18,help,0.22472155456004836,111
religion,Christian,19,until,0.2242007402914077,11
religion,Christian,20,cozy,0.22355702839681157,71
religion,Hindu,1,india,0.5070925942205489,5
religion,Hindu,2,pick,0.35075787384716334,6
religion,Hindu,3,true,0.282661480017155,21
religion,Hindu,4,ravi,0.2821091207887269,12
religion,Hindu,5,laughter,0.2809318033792352,32
religion,Hindu,6,play,0.27221605695575296,53
religion,Hindu,7,because,0.2713814174075974,22
religion,Hindu,8,river,0.2249370368598897,33
religion,Hindu,9,dear,0.22300757054765982,27
religion,Hindu,10,spread,0.21484360256622007,22
religion,Hindu,11,surrounded,0.2067245541195944,50
religion,Hindu,12,everyone,0.20137004231265526,51
religion,Hindu,13,people,0.19753087155612944,18
religion,Hindu,14,any,0.19315794116800503,13
religion,Hindu,15,arjun,0.19315794116800503,13
religion,Hindu,16,fields,0.19095753249134914,53
religion,Hindu,17,sang,0.18741783509623428,25
religion,Hindu,18,greatest,0.1868317592648003,19
religion,Hindu,19,painting,0.17977697091801698,14
religion,Hindu,20,widened,0.179776950913015,14
religion,Jain,1,mira,0.518309573343562,9
religion,Jain,2,living,0.43334082045626077,9
religion,Jain,3,proud,0.31915027679584423,39
religion,Jain,4,nature,0.294513740865511,25
religion,Jain,5,morning,0.2843982322344298,44
religion,Jain,6,free,0.27138141740759747,22
religion,Jain,7,bird,0.26561008522373886,47
religion,Jain,8,caring,0.263403261815948,9
religion,Jain,9,getting,0.263403261815948,9
religion,Jain,10,hurt,0.26071310799063774,23
religion,Jain,11,gave,0.2592592689174199,18
religion,Jain,12,placed,0.25,36
religion,Jain,13,hopped,0.25,36
religion,Jain,14,kindness,0.24828611928054897,93
religion,Jain,15,butterflies,0.24754782273983383,43
religion,Jain,16,wing,0.24710006870505877,19
religion,Jain,17,gently,0.23727150527574642,86
religion,Jain,18,chirp,0.23450883090411873,15
religion,Jain,19,knew,0.2334630743486818,87
religion,Jain,20,happily,0.23158680986601765,53
religion,Jewish,1,david,0.5659164041610665,10
religion,Jewish,2,miriam,0.5570860811787216,6
religion,Jewish,3,especially,0.26340322579754777,9
religion,Jewish,4,tonight,0.24759381385720958,6
religion,Jewish,5,strength,0.24759381385720952,6
religion,Jewish,6,grandmother,0.24253560178331426,10
religion,Jewish,7,evening,0.23570225243785978,60
religion,Jewish,8,brightly,0.2345088309041188,15
religion,Jewish,9,cozy,0.22355702839681163,71
religion,Jewish,10,courage,0.2203101576582606,7
religion,Jewish,11,keep,0.208965418642376,17
religion,Jewish,12,story,0.19876158682175382,30
religion,Jewish,13,first,0.19769342221576067,8
religion,Jewish,14,work,0.19769342221576067,8
religion,Jewish,15,has,0.19769340792104242,8
religion,Jewish,16,silver,0.19315796340649494,13
religion,Jewish,17,shine,0.19315794116800508,13
religion,Jewish,18,night,0.18674659755404147,137
religion,Jewish,19,stronger,0.17977695091301504,14
religion,Jewish,20,brown,0.17843445548198977,9
religion,Muslim,1,amir,0.7276068053499426,10
religion,Muslim,2,amina,0.5183095733435619,9
religion,Muslim,3,singing,0.2646979193783774,13
religion,Muslim,4,“look,0.2203101576582605,7
religion,Muslim,5,decided,0.21486788753712788,92
religion,Muslim,6,gently,0.20019783257641105,86
religion,Muslim,7,snacks,0.19769342221576067,8
religion,Muslim,8,park,0.19769342221576067,8
religion,Muslim,9,low,0.19769342221576064,8
religion,Muslim,10,“let’s,0.19769342221576064,8
religion,Muslim,11,along,0.19611613065067884,24
religion,Muslim,12,world,0.19432768937748574,78
religion,Muslim,13,sitting,0.18128942324794883,47
religion,Muslim,14,end,0.17843446768177126,9
religion,Muslim,15,snack,0.1784344676817712,9
religion,Muslim,16,off,0.17591895011061448,103
religion,Muslim,17,visit,0.17220429860218817,41
religion,Muslim,18,piece,0.169030864740183,5
religion,Muslim,19,perked,0.169030864740183,5
religion,Muslim,20,caught,0.169030864740183,5
religion,Parsi,1,kavi,0.507671193735298,7
religion,Parsi,2,inserted,0.4118842077958785,7
religion,Parsi,3,lock,0.4042260029721902,10
religion,Parsi,4,wondered,0.3563483631015497,12
religion,Parsi,5,key,0.3563483205267992,12
religion,Parsi,6,raced,0.353553414179423,20
religion,Parsi,7,open,0.3015113540195813,15
religion,Parsi,8,“hello,0.2863185646794948,16
religion,Parsi,9,shiny,0.28356189631782064,51
religion,Parsi,10,acorn,0.2817181079003048,5
religion,Parsi,11,wonder,0.265693727188225,28
religion,Parsi,12,door,0.2646979193783774,13
religion,Parsi,13,voice,0.25059283360920065,24
religion,Parsi,14,banyan,0.24759381385720958,6
religion,Parsi,15,“what,0.24759381385720958,6
religion,Parsi,16,shook,0.2475938138572095,6
religion,Parsi,17,explored,0.24759379330388007,6
religion,Parsi,18,memories,0.24759379330387998,6
religion,Parsi,19,squirrel,0.24759379330387996,6
religion,Parsi,20,golden,0.2249754636871234,21
religion,Sikh,1,arjun,0.2646979193783773,13
religion,Sikh,2,spreading,0.2475938138572095,6
religion,Sikh,3,villagers,0.24253561756101266,10
religion,Sikh,4,makes,0.23570225376787274,20
religion,Sikh,5,trying,0.22420072634411484,11
religion,Sikh,6,wherever,0.22031015765826054,7
religion,Sikh,7,only,0.22031015765826054,7
religion,Sikh,8,led,0.2203101576582605,7
religion,Sikh,9,forever,0.2203101576582605,7
religion,Sikh,10,bravery,0.2203101576582605,7
religion,Sikh,11,side,0.19315794116800508,13
religion,Sikh,12,play,0.19095753249134906,53
religion,Sikh,13,worry,0.18706094071824578,62
religion,Sikh,14,learn,0.17843446768177115,9
religion,Sikh,15,puppy,0.1784344554819897,9
religion,Sikh,16,fallen,0.1784344554819897,9
religion,Sikh,17,helping,0.1758816244885093,48
religion,Sikh,18,swim,0.16903086474018297,5
religion,Sikh,19,chase,0.16903086474018295,5
religion,Sikh,20,hug,0.16903086474018295,5
religion,Tribal,1,kimo,0.5070925942205486,5
religion,Tribal,2,wise,0.43045647338269205,27
religion,Tribal,3,forest,0.41747517937735856,38
religion,Tribal,4,young,0.4124789832093268,20
religion,Tribal,5,owl,0.3989339403903434,17
religion,Tribal,6,venture,0.3507578738471633,6
religion,Tribal,7,than,0.34783277693806913,30
religion,Tribal,8,woods,0.32673202196517587,27
religion,Tribal,9,quiet,0.3233808234146836,10
religion,Tribal,10,benny,0.31609715836348745,7
religion,Tribal,11,lila,0.30151134039189315,11
religion,Tribal,12,before,0.2909772449887579,43
religion,Tribal,13,round,0.2875540686774699,8
religion,Tribal,14,birds,0.2853102081477573,58
religion,Tribal,15,rabbit,0.282661480017155,21
religion,Tribal,16,rainbow,0.28171810790030477,5
religion,Tribal,17,ever,0.27419953358516186,39
religion,Tribal,18,rivers,0.24759379330387998,6
religion,Tribal,19,hop,0.24759379330387993,6
religion,Tribal,20,shimmering,0.24710006870505855,19
