Using model: gpt-4o-mini
Language: english
Total: 522 prompts × 3 stories = 1566
Remaining: 1566
  [0/1566] Prompt 1, story 0
  [25/1566] Prompt 9, story 1
  [50/1566] Prompt 17, story 2
  [75/1566] Prompt 26, story 0
  [100/1566] Prompt 34, story 1
  [125/1566] Prompt 42, story 2
  [150/1566] Prompt 51, story 0
  [175/1566] Prompt 59, story 1
  [200/1566] Prompt 67, story 2
  [225/1566] Prompt 76, story 0
  [250/1566] Prompt 84, story 1
  [275/1566] Prompt 92, story 2
  [300/1566] Prompt 101, story 0
  [325/1566] Prompt 109, story 1
  [350/1566] Prompt 117, story 2
  [375/1566] Prompt 126, story 0
  [400/1566] Prompt 134, story 1
  [425/1566] Prompt 142, story 2
  [450/1566] Prompt 151, story 0
  [475/1566] Prompt 159, story 1
  [500/1566] Prompt 167, story 2
  [525/1566] Prompt 176, story 0
  [550/1566] Prompt 184, story 1
  [575/1566] Prompt 192, story 2
  [600/1566] Prompt 201, story 0
  [625/1566] Prompt 209, story 1
  [650/1566] Prompt 217, story 2
  [675/1566] Prompt 226, story 0
  [700/1566] Prompt 234, story 1
  [725/1566] Prompt 242, story 2
  [750/1566] Prompt 251, story 0
  [775/1566] Prompt 259, story 1
  [800/1566] Prompt 267, story 2
  [825/1566] Prompt 276, story 0
  [850/1566] Prompt 284, story 1
  [875/1566] Prompt 292, story 2
  [900/1566] Prompt 301, story 0
  [925/1566] Prompt 309, story 1
  [950/1566] Prompt 317, story 2
  [975/1566] Prompt 326, story 0
  [1000/1566] Prompt 334, story 1
  [1025/1566] Prompt 342, story 2
  [1050/1566] Prompt 351, story 0
  [1075/1566] Prompt 359, story 1
  [1100/1566] Prompt 367, story 2
  [1125/1566] Prompt 376, story 0
  [1150/1566] Prompt 384, story 1
  [1175/1566] Prompt 392, story 2
  [1200/1566] Prompt 401, story 0
  [1225/1566] Prompt 409, story 1
  [1250/1566] Prompt 417, story 2
  [1275/1566] Prompt 426, story 0
  [1300/1566] Prompt 434, story 1
  [1325/1566] Prompt 442, story 2
  [1350/1566] Prompt 451, story 0
  [1375/1566] Prompt 459, story 1
  [1400/1566] Prompt 467, story 2
  [1425/1566] Prompt 476, story 0
  [1450/1566] Prompt 484, story 1
  [1475/1566] Prompt 492, story 2
  [1500/1566] Prompt 501, story 0
  [1525/1566] Prompt 509, story 1
  [1550/1566] Prompt 517, story 2
Done! 1566 stories saved -> /Users/skipper/Desktop/machine_learning/NLP/NLP_Project/data/stories/english/stories.jsonl
